Ortho	Species1	Start1	End1	Species2	Start2	End2	fill
OG6_100012	chr-4	115074	129849	Contig0009641	656595	699449	2fbeed
OG6_100012	chr-4	115074	129849	Contig0000094	72499	185140	2fbeed
OG6_100012	chr-4	115074	129849	Contig0007151	3	97567	2fbeed
OG6_100143	chr-4	328193	358917	Contig0001528	126681	139712	2fbeed
OG6_100143	chr-4	328193	358917	Contig0003798	568165	590084	2fbeed
OG6_100143	chr-4	328193	358917	Contig0004257	38220	52215	2fbeed
OG6_100153	chr-4	445504	453947	Contig0002171	33854	36185	2fbeed
OG6_100167	chr-4	636131	646556	Contig0000050	30139	41940	2fbeed
OG6_100167	chr-4	636131	646556	Contig0000486	877646	887429	2fbeed
OG6_100167	chr-4	636131	646556	Contig0007758	22751	26033	2fbeed
OG6_100167	chr-4	636131	646556	Contig0000486	858053	875058	2fbeed
OG6_100167	chr-4	636131	646556	Contig0003951	88052	89186	2fbeed
OG6_100167	chr-4	636131	646556	Contig0000278	279074	327257	2fbeed
OG6_100167	chr-4	636131	646556	Contig0006660	177433	187964	2fbeed
OG6_100167	chr-4	1126602	1137919	Contig0000050	30139	41940	2fbeed
OG6_100167	chr-4	1126602	1137919	Contig0000486	877646	887429	2fbeed
OG6_100167	chr-4	1126602	1137919	Contig0007758	22751	26033	2fbeed
OG6_100167	chr-4	1126602	1137919	Contig0000486	858053	875058	2fbeed
OG6_100167	chr-4	1126602	1137919	Contig0003951	88052	89186	2fbeed
OG6_100167	chr-4	1126602	1137919	Contig0000278	279074	327257	2fbeed
OG6_100167	chr-4	1126602	1137919	Contig0006660	177433	187964	2fbeed
OG6_100189	chr-4	610684	622470	Contig0006067	152122	164880	2fbeed
OG6_100215	chr-4	879	5039	Contig0004054	84034	104246	2fbeed
OG6_100236	chr-4	184076	193829	Contig0001473	41033	82757	2fbeed
OG6_100236	chr-4	184076	193829	Contig0008455	19877	23442	2fbeed
OG6_100236	chr-4	184076	193829	Contig0004826	46915	96592	2fbeed
OG6_100236	chr-4	184076	193829	Contig0005605	65762	69376	2fbeed
OG6_100269	chr-4	32478	43778	Contig0010347	14303	20201	2fbeed
OG6_100269	chr-4	32478	43778	Contig0008651	59142	66655	2fbeed
OG6_100269	chr-4	32478	43778	Contig0000634	590511	597806	2fbeed
OG6_100269	chr-4	1009895	1027101	Contig0010347	14303	20201	2fbeed
OG6_100269	chr-4	1009895	1027101	Contig0008651	59142	66655	2fbeed
OG6_100269	chr-4	1009895	1027101	Contig0000634	590511	597806	2fbeed
OG6_100287	chr-4	724400	776474	Contig0006015	32396	97543	2fbeed
OG6_100287	chr-4	724400	776474	Contig0000535	197	32536	2fbeed
OG6_100287	chr-4	724400	776474	Contig0000210	469643	550339	2fbeed
OG6_100287	chr-4	724400	776474	Contig0001577	10445	44050	2fbeed
OG6_100347	chr-4	629691	635350	Contig0007069	19059	33103	2fbeed
OG6_100347	chr-4	629691	635350	Contig0011113	47934	49024	2fbeed
OG6_100379	chr-4	132220	143123	Contig0003970	58051	97881	2fbeed
OG6_100380	chr-4	1028675	1029361	Contig0004422	1658	2772	2fbeed
OG6_100380	chr-4	1028675	1029361	Contig0000716	113745	114531	2fbeed
OG6_100380	chr-4	1028675	1029361	Contig0000725	236177	237285	2fbeed
OG6_100380	chr-4	1028675	1029361	Contig0009951	5655	6426	2fbeed
OG6_100380	chr-4	1028675	1029361	Contig0001936	10368	11486	2fbeed
OG6_100380	chr-4	1028675	1029361	Contig0009898	4174	4944	2fbeed
OG6_100394	chr-4	1225089	1230713	Contig0001631	18449	22068	2fbeed
OG6_100394	chr-4	1225089	1230713	Contig0006749	69502	78406	2fbeed
OG6_100394	chr-4	1225089	1230713	Contig0004092	79589	83227	2fbeed
OG6_100515	chr-4	1035288	1053703	Contig0009220	370396	374205	2fbeed
OG6_100608	chr-4	1031484	1034917	Contig0000471	435145	437218	2fbeed
OG6_100608	chr-4	1031484	1034917	Contig0009641	432920	434995	2fbeed
OG6_100723	chr-4	65225	67207	Contig0007175	90762	92114	2fbeed
OG6_101051	chr-4	568296	571554	Contig0003093	80195	81944	2fbeed
OG6_101051	chr-4	568296	571554	Contig0005211	30479	32237	2fbeed
OG6_101279	chr-4	308093	310822	Contig0004512	30822	32464	2fbeed
OG6_101279	chr-4	308093	310822	Contig0001244	44664	46306	2fbeed
OG6_101279	chr-4	308093	310822	Contig0004512	21784	23018	2fbeed
OG6_101279	chr-4	308093	310822	Contig0001244	35389	36613	2fbeed
OG6_101431	chr-4	469409	488994	Contig0008560	161656	167074	2fbeed
OG6_103034	chr-4	867824	912331	Contig0003731	352558	399772	2fbeed
OG6_103305	chr-4	359938	375554	Contig0005443	110469	111977	2fbeed
OG6_103305	chr-4	359938	375554	Contig0009813	46913	48422	2fbeed
OG6_103305	chr-4	359938	375554	Contig0010588	1403563	1408489	2fbeed
OG6_103305	chr-4	359938	375554	Contig0008101	150417	155353	2fbeed
OG6_104319	chr-4	47710	57041	Contig0005981	22811	45667	2fbeed
OG6_104319	chr-4	47710	57041	Contig0002060	89237	111156	2fbeed
OG6_104663	chr-4	663621	669884	Contig0009984	749454	753038	2fbeed
OG6_104901	chr-4	1192419	1196848	Contig0008233	85856	87616	2fbeed
OG6_105217	chr-4	310930	314087	Contig0006338	59251	67925	2fbeed
OG6_105391	chr-4	1230837	1271759	Contig0008511	86811	93247	2fbeed
OG6_105391	chr-4	1230837	1271759	Contig0007129	31451	37886	2fbeed
OG6_105421	chr-4	210224	213165	Contig0010281	127637	129520	2fbeed
OG6_105421	chr-4	210224	213165	Contig0003184	47017	48902	2fbeed
OG6_106010	chr-4	558016	567257	Contig0010881	62695	71784	2fbeed
OG6_106010	chr-4	558016	567257	Contig0003328	52555	63786	2fbeed
OG6_106071	chr-4	268175	276369	Contig0003715	112501	140161	2fbeed
OG6_106071	chr-4	268175	276369	Contig0004511	46379	71717	2fbeed
OG6_106078	chr-4	501810	540874	Contig0004286	3400	5004	2fbeed
OG6_106078	chr-4	501810	540874	Contig0005687	17187	47733	2fbeed
OG6_106078	chr-4	501810	540874	Contig0005816	18469	23826	2fbeed
OG6_106215	chr-4	800436	834393	Contig0009962	23750	25634	2fbeed
OG6_106215	chr-4	800436	834393	Contig0009590	42299	50064	2fbeed
OG6_106215	chr-4	800436	834393	Contig0001172	948	8703	2fbeed
OG6_106586	chr-4	671142	690650	Contig0009791	28985	31593	2fbeed
OG6_107097	chr-4	1124167	1125325	Contig0007626	52186	53019	2fbeed
OG6_107097	chr-4	1124167	1125325	Contig0007103	3312	4144	2fbeed
OG6_107890	chr-4	69326	114270	Contig0006437	21139	103910	2fbeed
OG6_108119	chr-4	1057365	1065001	Contig0007175	147067	149292	2fbeed
OG6_108171	chr-4	459887	466828	Contig0008743	12375	19164	2fbeed
OG6_108171	chr-4	459887	466828	Contig0003491	46616	53443	2fbeed
OG6_109347	chr-4	1198852	1224467	Contig0004484	37848	43306	2fbeed
OG6_109347	chr-4	1198852	1224467	Contig0004385	155109	160397	2fbeed
OG6_110183	chr-4	598555	607649	Contig0007307	15125	15840	2fbeed
OG6_110183	chr-4	598555	607649	Contig0007307	21810	22514	2fbeed
OG6_113931	chr-4	571755	580122	Contig0006009	193642	197529	2fbeed
OG6_113931	chr-4	571755	580122	Contig0003033	7136	11005	2fbeed
OG6_115608	chr-4	649041	660608	Contig0003236	707849	715490	2fbeed
OG6_122568	chr-4	196675	205945	Contig0002617	1782816	1795967	2fbeed
OG6_126247	chr-4	154654	156060	Contig0004606	383206	391981	2fbeed
OG6_126247	chr-4	154654	156060	Contig0005137	68039	77983	2fbeed
OG6_126651	chr-4	227922	230428	Contig0011178	17136	19486	2fbeed
OG6_130121	chr-4	157575	175639	Contig0003266	58052	85168	2fbeed
OG6_136671	chr-4	661009	663124	Contig0009013	333285	334729	2fbeed
OG6_142320	chr-4	1029711	1031757	Contig0009357	133633	134523	2fbeed
OG6_142320	chr-4	1029711	1031757	Contig0007272	42974	43852	2fbeed
OG6_175126	chr-4	436957	443911	Contig0007788	1918598	1922959	2fbeed
OG6_203369	chr-4	951542	958392	Contig0000901	98226	112888	2fbeed
