Ortho	Species1	Start1	End1	Species2	Start2	End2	fill
OG6_100014	chr-2L	9747839	9750071	Contig0002148	563311	566965	FF6E63
OG6_100014	chr-2L	9747839	9750071	Contig0007608	33854	35491	FF6E63
OG6_100014	chr-2L	9747839	9750071	Contig0004417	73557	77313	FF6E63
OG6_100014	chr-2L	9747839	9750071	Contig0007626	40594	42905	FF6E63
OG6_100014	chr-2L	9747839	9750071	Contig0011253	85322	88375	FF6E63
OG6_100014	chr-2L	9747839	9750071	Contig0007608	57327	60392	FF6E63
OG6_100014	chr-2L	9747839	9750071	Contig0001731	29414	40442	FF6E63
OG6_100014	chr-2L	9747839	9750071	Contig0002642	88251	93007	FF6E63
OG6_100014	chr-2L	9747839	9750071	Contig0002642	37439	39087	FF6E63
OG6_100014	chr-2L	9747839	9750071	Contig0003102	579374	586384	FF6E63
OG6_100014	chr-2L	9747839	9750071	Contig0003102	599477	610365	FF6E63
OG6_100014	chr-2L	9747839	9750071	Contig0003102	614400	617264	FF6E63
OG6_100014	chr-2L	9747839	9750071	Contig0003102	589810	596139	FF6E63
OG6_100014	chr-2L	9747839	9750071	Contig0002642	26803	27865	FF6E63
OG6_100014	chr-2L	9747839	9750071	Contig0007608	15114	16744	FF6E63
OG6_100014	chr-2L	9747839	9750071	Contig0007330	71137	71796	FF6E63
OG6_100014	chr-2L	9747839	9750071	Contig0009263	1442	6444	FF6E63
OG6_100014	chr-2L	9747839	9750071	Contig0006962	354968	372340	FF6E63
OG6_100014	chr-2L	9747839	9750071	Contig0007578	7234	17306	FF6E63
OG6_100014	chr-2L	9747839	9750071	Contig0007055	46107	50053	FF6E63
OG6_100014	chr-2L	9747839	9750071	Contig0002642	52809	55720	FF6E63
OG6_100014	chr-2L	9747839	9750071	Contig0002642	9045	9718	FF6E63
OG6_100014	chr-2L	9747839	9750071	Contig0000832	56691	58379	FF6E63
OG6_100014	chr-2L	9747839	9750071	Contig0007330	1053	6020	FF6E63
OG6_100014	chr-2L	9747839	9750071	Contig0000832	45107	51015	FF6E63
OG6_100014	chr-2L	9747839	9750071	Contig0004535	2361	11609	FF6E63
OG6_100014	chr-2L	9747839	9750071	Contig0002733	39402	48629	FF6E63
OG6_100014	chr-2L	9747839	9750071	Contig0002601	98433	103670	FF6E63
OG6_100014	chr-2L	9747839	9750071	Contig0007330	96489	100105	FF6E63
OG6_100014	chr-2L	9747839	9750071	Contig0002642	98959	100547	FF6E63
OG6_100014	chr-2L	9747839	9750071	Contig0000832	31634	34803	FF6E63
OG6_100014	chr-2L	9747839	9750071	Contig0002601	83140	84260	FF6E63
OG6_100014	chr-2L	9747839	9750071	Contig0002642	111570	113136	FF6E63
OG6_100014	chr-2L	9747839	9750071	Contig0009768	269964	316570	FF6E63
OG6_100014	chr-2L	9747839	9750071	Contig0000064	153714	157699	FF6E63
OG6_100014	chr-2L	9747839	9750071	Contig0002642	42813	44426	FF6E63
OG6_100014	chr-2L	9747839	9750071	Contig0003102	557983	574019	FF6E63
OG6_100014	chr-2L	9747839	9750071	Contig0007608	70983	72730	FF6E63
OG6_100014	chr-2L	9747839	9750071	Contig0007626	37790	39734	FF6E63
OG6_100014	chr-2L	9747839	9750071	Contig0002642	61155	62913	FF6E63
OG6_100014	chr-2L	9747839	9750071	Contig0002642	15639	19698	FF6E63
OG6_100014	chr-2L	9747839	9750071	Contig0004417	61356	63105	FF6E63
OG6_100014	chr-2L	9747839	9750071	Contig0002601	86600	87308	FF6E63
OG6_100014	chr-2L	9747839	9750071	Contig0007626	33501	37465	FF6E63
OG6_100014	chr-2L	9747839	9750071	Contig0009996	19134	29254	FF6E63
OG6_100014	chr-2L	9747839	9750071	Contig0002642	1379	3053	FF6E63
OG6_100014	chr-2L	9747839	9750071	Contig0010164	129488	131229	FF6E63
OG6_100014	chr-2L	9747839	9750071	Contig0001562	8078	15281	FF6E63
OG6_100014	chr-2L	9747839	9750071	Contig0004443	13396	22019	FF6E63
