Ortho	Species1	Start1	End1	Species2	Start2	End2	fill
OG6_100006	chr-X	2295466	2343870	tig00003792	24556	28562	2fbeed
OG6_100006	chr-X	2295466	2343870	tig00009360	3461837	3465860	2fbeed
OG6_100006	chr-X	2295466	2343870	tig00009349	3008039	3012028	2fbeed
OG6_100006	chr-X	2295466	2343870	tig00005870	26622	30624	2fbeed
OG6_100013	chr-X	8170229	8177185	tig00008922	6952074	7024448	2fbeed
OG6_100013	chr-X	8170229	8177185	tig00003825	186390	223971	2fbeed
OG6_100013	chr-X	8170229	8177185	tig00008497	45076530	45082282	2fbeed
OG6_100013	chr-X	8170229	8177185	tig00003652	223801	228484	2fbeed
OG6_100013	chr-X	8170229	8177185	tig00008897	1293075	1471347	2fbeed
OG6_100013	chr-X	8170229	8177185	tig00004328	108851	114997	2fbeed
OG6_100013	chr-X	8170229	8177185	tig00004328	97649	103272	2fbeed
OG6_100013	chr-X	8170229	8177185	tig00004506	508401	514285	2fbeed
OG6_100013	chr-X	8170229	8177185	tig00008966	887312	891981	2fbeed
OG6_100013	chr-X	8170229	8177185	tig00003825	48605	52131	2fbeed
OG6_100013	chr-X	8170229	8177185	tig00008497	45094156	45103187	2fbeed
OG6_100013	chr-X	8170229	8177185	tig00008897	1298538	1301433	2fbeed
OG6_100013	chr-X	8170229	8177185	tig00009276	187324	193223	2fbeed
OG6_100013	chr-X	8170229	8177185	tig00004659	175826	181750	2fbeed
OG6_100014	chr-X	2176006	2178728	tig00002647	7106002	7109659	2fbeed
OG6_100014	chr-X	2176006	2178728	tig00008895	12076998	12085170	2fbeed
OG6_100014	chr-X	2176006	2178728	tig00004364	175806	177792	2fbeed
OG6_100014	chr-X	2176006	2178728	tig00009455	3833019	3836352	2fbeed
OG6_100014	chr-X	2176006	2178728	tig00008420	32887297	32897925	2fbeed
OG6_100014	chr-X	2176006	2178728	tig00009184	6669192	6670791	2fbeed
OG6_100014	chr-X	2176006	2178728	tig00009184	6632871	6634468	2fbeed
OG6_100014	chr-X	2176006	2178728	tig00009349	6815152	6817138	2fbeed
OG6_100014	chr-X	2176006	2178728	tig00003344	5464463	5468109	2fbeed
OG6_100014	chr-X	2176006	2178728	tig00009184	6673489	6675132	2fbeed
OG6_100014	chr-X	2176006	2178728	tig00009184	6557477	6561096	2fbeed
OG6_100014	chr-X	2176006	2178728	tig00002647	7122283	7124032	2fbeed
OG6_100014	chr-X	2176006	2178728	tig00009184	6683257	6684823	2fbeed
OG6_100014	chr-X	2176006	2178728	tig00008812	7843469	7844157	2fbeed
OG6_100014	chr-X	2176006	2178728	tig00008679	12951899	12952607	2fbeed
OG6_100014	chr-X	2176006	2178728	tig00009184	6585992	6589672	2fbeed
OG6_100014	chr-X	2176006	2178728	tig00005027	99296	104222	2fbeed
OG6_100014	chr-X	2176006	2178728	tig00009184	6593681	6597774	2fbeed
OG6_100014	chr-X	2176006	2178728	tig00009184	6637757	6638617	2fbeed
OG6_100014	chr-X	2176006	2178728	tig00002647	7090603	7092253	2fbeed
OG6_100014	chr-X	2176006	2178728	tig00003040	2195150	2198205	2fbeed
OG6_100014	chr-X	2176006	2178728	tig00008679	12948439	12949559	2fbeed
OG6_100014	chr-X	2176006	2178728	tig00004097	3693	5872	2fbeed
OG6_100014	chr-X	2176006	2178728	tig00008812	7849400	7853615	2fbeed
OG6_100014	chr-X	2176006	2178728	tig00006082	3510	6181	2fbeed
OG6_100014	chr-X	2176006	2178728	tig00008895	12034060	12054374	2fbeed
OG6_100014	chr-X	2176006	2178728	tig00009184	6607483	6609118	2fbeed
OG6_100014	chr-X	2176006	2178728	tig00008428	728537	775259	2fbeed
OG6_100014	chr-X	2176006	2178728	tig00002647	7083660	7085313	2fbeed
OG6_100014	chr-X	2176006	2178728	tig00006082	17240	18799	2fbeed
OG6_100014	chr-X	2176006	2178728	tig00009538	223641	225394	2fbeed
OG6_100014	chr-X	2176006	2178728	tig00009538	206779	210488	2fbeed
OG6_100014	chr-X	2176006	2178728	tig00009656	2731912	2749968	2fbeed
OG6_100014	chr-X	2176006	2178728	tig00009538	185665	187324	2fbeed
OG6_100014	chr-X	2176006	2178728	tig00005478	20181	21908	2fbeed
OG6_100014	chr-X	2176006	2178728	tig00009184	6981902	6984018	2fbeed
OG6_100014	chr-X	2176006	2178728	tig00004364	172696	175017	2fbeed
OG6_100014	chr-X	2176006	2178728	tig00009538	175990	177616	2fbeed
OG6_100014	chr-X	2176006	2178728	tig00005145	143228	144986	2fbeed
