Ortho	Species1	Start1	End1	Species2	Start2	End2	fill
OG6_100000	chr-2R	17628491	17633516	Contig0008861	57471	59544	2fbeed
OG6_100000	chr-2R	17628491	17633516	Contig0003702	234610	235624	2fbeed
OG6_100000	chr-2R	17628491	17633516	Contig0007304	17298	23693	2fbeed
OG6_100000	chr-2R	17628491	17633516	Contig0004412	13769	17640	2fbeed
OG6_100000	chr-2R	17628491	17633516	Contig0010207	167956	170094	2fbeed
OG6_100000	chr-2R	17628491	17633516	Contig0002558	338093	339261	2fbeed
OG6_100000	chr-2R	17628491	17633516	Contig0004577	28879	29888	2fbeed
OG6_100000	chr-2R	17628491	17633516	Contig0009480	4529	9525	2fbeed
OG6_100000	chr-2R	17628491	17633516	Contig0010940	621744	624482	2fbeed
OG6_100000	chr-2R	17628491	17633516	Contig0006521	5921	6929	2fbeed
OG6_100000	chr-2R	17633797	17634167	Contig0008861	57471	59544	2fbeed
OG6_100000	chr-2R	17633797	17634167	Contig0003702	234610	235624	2fbeed
OG6_100000	chr-2R	17633797	17634167	Contig0007304	17298	23693	2fbeed
OG6_100000	chr-2R	17633797	17634167	Contig0004412	13769	17640	2fbeed
OG6_100000	chr-2R	17633797	17634167	Contig0010207	167956	170094	2fbeed
OG6_100000	chr-2R	17633797	17634167	Contig0002558	338093	339261	2fbeed
OG6_100000	chr-2R	17633797	17634167	Contig0004577	28879	29888	2fbeed
OG6_100000	chr-2R	17633797	17634167	Contig0009480	4529	9525	2fbeed
OG6_100000	chr-2R	17633797	17634167	Contig0010940	621744	624482	2fbeed
OG6_100000	chr-2R	17633797	17634167	Contig0006521	5921	6929	2fbeed
OG6_100006	chr-X	2295466	2343870	Contig0006941	74474	78451	2fbeed
OG6_100006	chr-X	2295466	2343870	Contig0001916	61863	65756	2fbeed
OG6_100006	chr-X	2295466	2343870	Contig0007890	1442	5414	2fbeed
OG6_100012	chr-3L	7655389	7718395	Contig0009641	656595	699449	2fbeed
OG6_100012	chr-3L	7655389	7718395	Contig0000094	72499	185140	2fbeed
OG6_100012	chr-3L	7655389	7718395	Contig0007151	3	97567	2fbeed
OG6_100012	chr-4	115074	129849	Contig0009641	656595	699449	2fbeed
OG6_100012	chr-4	115074	129849	Contig0000094	72499	185140	2fbeed
OG6_100012	chr-4	115074	129849	Contig0007151	3	97567	2fbeed
OG6_100012	chr-3R	28607939	28635099	Contig0009641	656595	699449	2fbeed
OG6_100012	chr-3R	28607939	28635099	Contig0000094	72499	185140	2fbeed
OG6_100012	chr-3R	28607939	28635099	Contig0007151	3	97567	2fbeed
OG6_100013	chr-3R	20770828	20772601	Contig0006482	110147	115039	2fbeed
OG6_100013	chr-3R	20770828	20772601	Contig0010052	470969	631509	2fbeed
OG6_100013	chr-3R	20770828	20772601	Contig0000077	99163	103830	2fbeed
OG6_100013	chr-3R	20770828	20772601	Contig0006672	2725	8344	2fbeed
OG6_100013	chr-3R	20770828	20772601	Contig0010314	120480	126364	2fbeed
OG6_100013	chr-3R	20770828	20772601	Contig0004566	75505	82918	2fbeed
OG6_100013	chr-3R	20770828	20772601	Contig0004319	13446	86710	2fbeed
OG6_100013	chr-3R	20770828	20772601	Contig0000499	70694	77818	2fbeed
OG6_100013	chr-3R	20770828	20772601	Contig0006672	13915	20061	2fbeed
OG6_100013	chr-3R	20770828	20772601	Contig0004566	63801	69194	2fbeed
OG6_100013	chr-3R	20770828	20772601	Contig0010052	476446	480495	2fbeed
OG6_100013	chr-X	8170229	8177185	Contig0006482	110147	115039	2fbeed
