Ortho	Species1	Start1	End1	Species2	Start2	End2	fill
OG6_100012	chr-4	115074	129849	tig00004125	8102229	8213928	2fbeed
OG6_100012	chr-4	115074	129849	tig00004110	150293	194555	2fbeed
OG6_100012	chr-4	115074	129849	tig00000002	190895	233751	2fbeed
OG6_100143	chr-4	328193	358917	tig00002473	352030	366408	2fbeed
OG6_100143	chr-4	328193	358917	tig00002473	105061	118989	2fbeed
OG6_100143	chr-4	328193	358917	tig00004127	7834566	7853604	2fbeed
OG6_100153	chr-4	445504	453947	tig00004703	6791997	6794332	2fbeed
OG6_100167	chr-4	1126602	1137919	tig00004127	13033143	13036748	2fbeed
OG6_100167	chr-4	1126602	1137919	tig00004125	4614032	4623815	2fbeed
OG6_100167	chr-4	1126602	1137919	tig00001389	4348529	4421893	2fbeed
OG6_100167	chr-4	1126602	1137919	tig00004127	17660456	17661590	2fbeed
OG6_100167	chr-4	1126602	1137919	tig00004125	4594436	4611444	2fbeed
OG6_100167	chr-4	1126602	1137919	tig00002781	6517	9802	2fbeed
OG6_100167	chr-4	1126602	1137919	tig00002429	857806	864893	2fbeed
OG6_100167	chr-4	1126602	1137919	tig00001389	4267017	4329456	2fbeed
OG6_100167	chr-4	636131	646556	tig00004127	13033143	13036748	2fbeed
OG6_100167	chr-4	636131	646556	tig00004125	4614032	4623815	2fbeed
OG6_100167	chr-4	636131	646556	tig00001389	4348529	4421893	2fbeed
OG6_100167	chr-4	636131	646556	tig00004127	17660456	17661590	2fbeed
OG6_100167	chr-4	636131	646556	tig00004125	4594436	4611444	2fbeed
OG6_100167	chr-4	636131	646556	tig00002781	6517	9802	2fbeed
OG6_100167	chr-4	636131	646556	tig00002429	857806	864893	2fbeed
OG6_100167	chr-4	636131	646556	tig00001389	4267017	4329456	2fbeed
OG6_100189	chr-4	610684	622470	tig00002465	527579	540338	2fbeed
OG6_100215	chr-4	879	5039	tig00004127	15424560	15467736	2fbeed
OG6_100236	chr-4	184076	193829	tig00002791	63248	69838	2fbeed
OG6_100236	chr-4	184076	193829	tig00004208	26615532	26654646	2fbeed
OG6_100236	chr-4	184076	193829	tig00004370	68416	72031	2fbeed
OG6_100269	chr-4	32478	43778	tig00001214	8056335	8063839	2fbeed
OG6_100269	chr-4	32478	43778	tig00004353	5773818	5781118	2fbeed
OG6_100269	chr-4	1009895	1027101	tig00001214	8056335	8063839	2fbeed
OG6_100269	chr-4	1009895	1027101	tig00004353	5773818	5781118	2fbeed
OG6_100287	chr-4	724400	776474	tig00002424	183559	269159	2fbeed
OG6_100287	chr-4	724400	776474	tig00002243	171334	268407	2fbeed
OG6_100287	chr-4	724400	776474	tig00004144	3430807	3562735	2fbeed
OG6_100287	chr-4	724400	776474	tig00002573	107161	229321	2fbeed
OG6_100347	chr-4	629691	635350	tig00002054	4902050	4915566	2fbeed
OG6_100347	chr-4	629691	635350	tig00002054	4366562	4367652	2fbeed
OG6_100379	chr-4	132220	143123	tig00002305	2211886	2248648	2fbeed
OG6_100379	chr-4	132220	143123	tig00002249	2460905	2501571	2fbeed
OG6_100380	chr-4	1028675	1029361	tig00003616	4110	4891	2fbeed
OG6_100380	chr-4	1028675	1029361	tig00004374	5483180	5484299	2fbeed
OG6_100380	chr-4	1028675	1029361	tig00000826	10938368	10939098	2fbeed
OG6_100380	chr-4	1028675	1029361	tig00004361	1073405	1074174	2fbeed
