Ortho	Species1	Start1	End1	Species2	Start2	End2	fill
OG6_100012	chr-4	115074	129849	tig00008671	770821	805369	2fbeed
OG6_100012	chr-4	115074	129849	tig00002523	4282372	4317839	2fbeed
OG6_100012	chr-4	115074	129849	tig00008420	6735550	6842215	2fbeed
OG6_100012	chr-4	115074	129849	tig00005279	1498	44352	2fbeed
OG6_100143	chr-4	328193	358917	tig00003766	97059	112708	2fbeed
OG6_100143	chr-4	328193	358917	tig00005002	66160	81899	2fbeed
OG6_100143	chr-4	328193	358917	tig00003766	336513	352175	2fbeed
OG6_100143	chr-4	328193	358917	tig00008420	38021150	38041548	2fbeed
OG6_100153	chr-4	445504	453947	tig00003441	98057	100414	2fbeed
OG6_100153	chr-4	445504	453947	tig00008813	2871464	2873822	2fbeed
OG6_100153	chr-4	445504	453947	tig00001370	24824	27182	2fbeed
OG6_100167	chr-4	636131	646556	tig00008420	3218689	3228455	2fbeed
OG6_100167	chr-4	636131	646556	tig00008479	840	10962	2fbeed
OG6_100167	chr-4	636131	646556	tig00004715	95790	103138	2fbeed
OG6_100167	chr-4	636131	646556	tig00008921	1731454	1803855	2fbeed
OG6_100167	chr-4	636131	646556	tig00008478	24385	34512	2fbeed
OG6_100167	chr-4	636131	646556	tig00008420	33191610	33236019	2fbeed
OG6_100167	chr-4	636131	646556	tig00008420	3202643	3215751	2fbeed
OG6_100167	chr-4	636131	646556	tig00004511	664724	675907	2fbeed
OG6_100167	chr-4	636131	646556	tig00000276	13797	17295	2fbeed
OG6_100167	chr-4	636131	646556	tig00000307	321434	324716	2fbeed
OG6_100167	chr-4	636131	646556	tig00005296	40029	41163	2fbeed
OG6_100167	chr-4	636131	646556	tig00008921	1655924	1712082	2fbeed
OG6_100167	chr-4	636131	646556	tig00008420	28621216	28651298	2fbeed
OG6_100167	chr-4	1126602	1137919	tig00008420	3218689	3228455	2fbeed
OG6_100167	chr-4	1126602	1137919	tig00008479	840	10962	2fbeed
OG6_100167	chr-4	1126602	1137919	tig00004715	95790	103138	2fbeed
OG6_100167	chr-4	1126602	1137919	tig00008921	1731454	1803855	2fbeed
OG6_100167	chr-4	1126602	1137919	tig00008478	24385	34512	2fbeed
OG6_100167	chr-4	1126602	1137919	tig00008420	33191610	33236019	2fbeed
OG6_100167	chr-4	1126602	1137919	tig00008420	3202643	3215751	2fbeed
OG6_100167	chr-4	1126602	1137919	tig00004511	664724	675907	2fbeed
OG6_100167	chr-4	1126602	1137919	tig00000276	13797	17295	2fbeed
OG6_100167	chr-4	1126602	1137919	tig00000307	321434	324716	2fbeed
OG6_100167	chr-4	1126602	1137919	tig00005296	40029	41163	2fbeed
OG6_100167	chr-4	1126602	1137919	tig00008921	1655924	1712082	2fbeed
OG6_100167	chr-4	1126602	1137919	tig00008420	28621216	28651298	2fbeed
OG6_100189	chr-4	610684	622470	tig00004011	231295	243972	2fbeed
OG6_100189	chr-4	610684	622470	tig00005464	14286	26947	2fbeed
OG6_100189	chr-4	610684	622470	tig00004270	121316	134118	2fbeed
OG6_100215	chr-4	879	5039	tig00008420	30830728	30872492	2fbeed
OG6_100236	chr-4	184076	193829	tig00009360	3598056	3601650	2fbeed
OG6_100236	chr-4	184076	193829	tig00008497	3247895	3286186	2fbeed
OG6_100269	chr-4	32478	43778	tig00004424	162579	169863	2fbeed
OG6_100269	chr-4	32478	43778	tig00004409	696818	704335	2fbeed
OG6_100269	chr-4	32478	43778	tig00004399	624908	632208	2fbeed
OG6_100269	chr-4	32478	43778	tig00009276	2161429	2168954	2fbeed
OG6_100269	chr-4	1009895	1027101	tig00004424	162579	169863	2fbeed
OG6_100269	chr-4	1009895	1027101	tig00004409	696818	704335	2fbeed
OG6_100269	chr-4	1009895	1027101	tig00004399	624908	632208	2fbeed
OG6_100269	chr-4	1009895	1027101	tig00009276	2161429	2168954	2fbeed
OG6_100287	chr-4	724400	776474	tig00008435	8879972	9005369	2fbeed
OG6_100287	chr-4	724400	776474	tig00003750	186342	266807	2fbeed
OG6_100287	chr-4	724400	776474	tig00005179	43524	126826	2fbeed
OG6_100347	chr-4	629691	635350	tig00009231	3431188	3432278	2fbeed
OG6_100347	chr-4	629691	635350	tig00009231	3959053	3973056	2fbeed
OG6_100379	chr-4	132220	143123	tig00003851	2183431	2223248	2fbeed
OG6_100379	chr-4	132220	143123	tig00004855	72948	112993	2fbeed
OG6_100380	chr-4	1028675	1029361	tig00008496	5658580	5659359	2fbeed
OG6_100380	chr-4	1028675	1029361	tig00009424	127032	128147	2fbeed
OG6_100380	chr-4	1028675	1029361	tig00002180	1084645	1085414	2fbeed
OG6_100380	chr-4	1028675	1029361	tig00005223	106745	107471	2fbeed
OG6_100380	chr-4	1028675	1029361	tig00008694	158810	159918	2fbeed
