Ortho	Species1	Start1	End1	Species2	Start2	End2	fill
OG6_100012	chr-4	115074	129849	KB857252	7810	42311	2fbeed
OG6_100012	chr-4	115074	129849	KB856361	15986	140850	2fbeed
OG6_100143	chr-4	328193	358917	KB855808	64163	84691	2fbeed
OG6_100143	chr-4	328193	358917	KB855613	216535	233001	2fbeed
OG6_100143	chr-4	328193	358917	KB857328	6231	20858	2fbeed
OG6_100153	chr-4	445504	453947	KB855542	129922	132286	2fbeed
OG6_100167	chr-4	1126602	1137919	KB855450	121808	152666	2fbeed
OG6_100167	chr-4	1126602	1137919	KB856872	31654	111288	2fbeed
OG6_100167	chr-4	1126602	1137919	KB855749	39	6673	2fbeed
OG6_100167	chr-4	1126602	1137919	KB855228	439656	450979	2fbeed
OG6_100167	chr-4	1126602	1137919	KB856519	85814	151911	2fbeed
OG6_100167	chr-4	1126602	1137919	KB861009	14024	25112	2fbeed
OG6_100167	chr-4	1126602	1137919	KB856957	110770	115759	2fbeed
OG6_100167	chr-4	1126602	1137919	KB855228	453914	463677	2fbeed
OG6_100167	chr-4	1126602	1137919	AQPM01039345	8	1570	2fbeed
OG6_100167	chr-4	1126602	1137919	KB855593	1386	35805	2fbeed
OG6_100167	chr-4	1126602	1137919	KB855450	119674	120813	2fbeed
OG6_100167	chr-4	636131	646556	KB855450	121808	152666	2fbeed
OG6_100167	chr-4	636131	646556	KB856872	31654	111288	2fbeed
OG6_100167	chr-4	636131	646556	KB855749	39	6673	2fbeed
OG6_100167	chr-4	636131	646556	KB855228	439656	450979	2fbeed
OG6_100167	chr-4	636131	646556	KB856519	85814	151911	2fbeed
OG6_100167	chr-4	636131	646556	KB861009	14024	25112	2fbeed
OG6_100167	chr-4	636131	646556	KB856957	110770	115759	2fbeed
OG6_100167	chr-4	636131	646556	KB855228	453914	463677	2fbeed
OG6_100167	chr-4	636131	646556	AQPM01039345	8	1570	2fbeed
OG6_100167	chr-4	636131	646556	KB855593	1386	35805	2fbeed
OG6_100167	chr-4	636131	646556	KB855450	119674	120813	2fbeed
OG6_100189	chr-4	610684	622470	KB855832	101246	114040	2fbeed
OG6_100215	chr-4	879	5039	KB856114	90098	131578	2fbeed
OG6_100236	chr-4	184076	193829	KB855855	57659	61258	2fbeed
OG6_100236	chr-4	184076	193829	KB855966	65519	103009	2fbeed
OG6_100269	chr-4	1009895	1027101	KB855416	384402	392352	2fbeed
OG6_100269	chr-4	1009895	1027101	KB855140	499353	506659	2fbeed
OG6_100269	chr-4	32478	43778	KB855416	384402	392352	2fbeed
OG6_100269	chr-4	32478	43778	KB855140	499353	506659	2fbeed
OG6_100287	chr-4	724400	776474	KB858130	29000	61386	2fbeed
OG6_100287	chr-4	724400	776474	KB859751	3546	64455	2fbeed
OG6_100287	chr-4	724400	776474	KB855588	92204	171370	2fbeed
OG6_100287	chr-4	724400	776474	KB857191	61543	64983	2fbeed
OG6_100347	chr-4	629691	635350	KB856458	6520	20534	2fbeed
OG6_100347	chr-4	629691	635350	KB857857	8176	9268	2fbeed
OG6_100379	chr-4	132220	143123	KB856739	918032	956858	2fbeed
OG6_100380	chr-4	1028675	1029361	KB855267	66380	67170	2fbeed
OG6_100380	chr-4	1028675	1029361	KB855624	57654	58430	2fbeed
OG6_100380	chr-4	1028675	1029361	KB856338	669619	670744	2fbeed
OG6_100392	chr-4	936819	949441	KB856092	111994	197260	2fbeed
OG6_100394	chr-4	1225089	1230713	KB856097	66484	70111	2fbeed
OG6_100394	chr-4	1225089	1230713	KB856737	319441	321613	2fbeed
OG6_100394	chr-4	1225089	1230713	KB860431	57278	65959	2fbeed
OG6_100394	chr-4	1225089	1230713	KB856735	663984	834725	2fbeed
OG6_100515	chr-4	1035288	1053703	KB855712	51911	55714	2fbeed
OG6_100608	chr-4	1031484	1034917	KB855533	205706	207787	2fbeed
OG6_100608	chr-4	1031484	1034917	KB855173	583500	585580	2fbeed
