Ortho	Species1	Start1	End1	Species2	Start2	End2	fill
OG6_100025	chr-Y	573088	664173	tig00004208	15735582	15775732	2fbeed
OG6_100025	chr-Y	573088	664173	tig00000654	19858459	19859080	2fbeed
OG6_100025	chr-Y	573088	664173	tig00001527	20780	23368	2fbeed
OG6_100025	chr-Y	573088	664173	tig00004353	5416970	5482372	2fbeed
OG6_100025	chr-Y	573088	664173	tig00001812	3455054	3597027	2fbeed
OG6_100025	chr-Y	573088	664173	tig00004106	1361912	1384284	2fbeed
OG6_100025	chr-Y	573088	664173	tig00004581	8043904	8060159	2fbeed
OG6_100025	chr-Y	573088	664173	tig00004353	5393429	5413390	2fbeed
OG6_100025	chr-Y	573088	664173	tig00004106	983483	1159667	2fbeed
OG6_100025	chr-Y	573088	664173	tig00004370	9248251	9283378	2fbeed
OG6_100025	chr-Y	573088	664173	tig00004106	1166867	1179432	2fbeed
OG6_100025	chr-Y	573088	664173	tig00000654	19709757	19758491	2fbeed
OG6_100025	chr-Y	573088	664173	tig00000132	198929	221136	2fbeed
OG6_100025	chr-Y	573088	664173	tig00004581	8061974	8064562	2fbeed
OG6_100025	chr-Y	573088	664173	tig00001997	2406507	2472475	2fbeed
OG6_100025	chr-Y	573088	664173	tig00001109	7650692	7667699	2fbeed
OG6_100025	chr-Y	573088	664173	tig00004353	5485050	5526382	2fbeed
OG6_100025	chr-Y	573088	664173	tig00000654	19764460	19778018	2fbeed
OG6_100025	chr-Y	573088	664173	tig00002605	54110	89108	2fbeed
OG6_100025	chr-Y	336381	563165	tig00004208	15735582	15775732	2fbeed
OG6_100025	chr-Y	336381	563165	tig00000654	19858459	19859080	2fbeed
OG6_100025	chr-Y	336381	563165	tig00001527	20780	23368	2fbeed
OG6_100025	chr-Y	336381	563165	tig00004353	5416970	5482372	2fbeed
OG6_100025	chr-Y	336381	563165	tig00001812	3455054	3597027	2fbeed
OG6_100025	chr-Y	336381	563165	tig00004106	1361912	1384284	2fbeed
OG6_100025	chr-Y	336381	563165	tig00004581	8043904	8060159	2fbeed
OG6_100025	chr-Y	336381	563165	tig00004353	5393429	5413390	2fbeed
OG6_100025	chr-Y	336381	563165	tig00004106	983483	1159667	2fbeed
OG6_100025	chr-Y	336381	563165	tig00004370	9248251	9283378	2fbeed
OG6_100025	chr-Y	336381	563165	tig00004106	1166867	1179432	2fbeed
OG6_100025	chr-Y	336381	563165	tig00000654	19709757	19758491	2fbeed
OG6_100025	chr-Y	336381	563165	tig00000132	198929	221136	2fbeed
OG6_100025	chr-Y	336381	563165	tig00004581	8061974	8064562	2fbeed
OG6_100025	chr-Y	336381	563165	tig00001997	2406507	2472475	2fbeed
OG6_100025	chr-Y	336381	563165	tig00001109	7650692	7667699	2fbeed
OG6_100025	chr-Y	336381	563165	tig00004353	5485050	5526382	2fbeed
OG6_100025	chr-Y	336381	563165	tig00000654	19764460	19778018	2fbeed
OG6_100025	chr-Y	336381	563165	tig00002605	54110	89108	2fbeed
OG6_100025	chr-Y	22250	137486	tig00004208	15735582	15775732	2fbeed
OG6_100025	chr-Y	22250	137486	tig00000654	19858459	19859080	2fbeed
OG6_100025	chr-Y	22250	137486	tig00001527	20780	23368	2fbeed
OG6_100025	chr-Y	22250	137486	tig00004353	5416970	5482372	2fbeed
OG6_100025	chr-Y	22250	137486	tig00001812	3455054	3597027	2fbeed
OG6_100025	chr-Y	22250	137486	tig00004106	1361912	1384284	2fbeed
OG6_100025	chr-Y	22250	137486	tig00004581	8043904	8060159	2fbeed
OG6_100025	chr-Y	22250	137486	tig00004353	5393429	5413390	2fbeed
OG6_100025	chr-Y	22250	137486	tig00004106	983483	1159667	2fbeed
OG6_100025	chr-Y	22250	137486	tig00004370	9248251	9283378	2fbeed
OG6_100025	chr-Y	22250	137486	tig00004106	1166867	1179432	2fbeed
OG6_100025	chr-Y	22250	137486	tig00000654	19709757	19758491	2fbeed
OG6_100025	chr-Y	22250	137486	tig00000132	198929	221136	2fbeed
OG6_100025	chr-Y	22250	137486	tig00004581	8061974	8064562	2fbeed
OG6_100025	chr-Y	22250	137486	tig00001997	2406507	2472475	2fbeed
OG6_100025	chr-Y	22250	137486	tig00001109	7650692	7667699	2fbeed
OG6_100025	chr-Y	22250	137486	tig00004353	5485050	5526382	2fbeed
OG6_100025	chr-Y	22250	137486	tig00000654	19764460	19778018	2fbeed
OG6_100025	chr-Y	22250	137486	tig00002605	54110	89108	2fbeed
OG6_100072	chr-Y	702430	704048	tig00001214	3741217	3747762	2fbeed
OG6_100072	chr-Y	702430	704048	tig00004106	2591177	2595641	2fbeed
OG6_100072	chr-Y	702430	704048	tig00001887	3093727	3094859	2fbeed
OG6_100072	chr-Y	702430	704048	tig00004106	2585680	2589021	2fbeed
OG6_100072	chr-Y	702430	704048	tig00001845	3320362	3321493	2fbeed
OG6_100072	chr-Y	702430	704048	tig00004127	14410812	14416962	2fbeed
OG6_100222	chr-Y	3539437	3540722	tig00002452	953559	955038	2fbeed
OG6_100222	chr-Y	3539437	3540722	tig00004262	5169494	5170973	2fbeed
OG6_100222	chr-Y	3539437	3540722	tig00002575	286171	288883	2fbeed
OG6_100222	chr-Y	3539437	3540722	tig00004370	13139264	13141977	2fbeed
OG6_100222	chr-Y	3539437	3540722	tig00002190	1653935	1771526	2fbeed
OG6_103263	chr-Y	3561745	3618339	tig00004353	2576695	2587091	2fbeed
OG6_103263	chr-Y	3561745	3618339	tig00004353	2587269	2594181	2fbeed
OG6_104360	chr-Y	2273422	2487777	tig00000533	9350400	9360685	2fbeed
OG6_104691	chr-Y	1636574	1884846	tig00001204	3445405	3456629	2fbeed
OG6_110359	chr-Y	146092	192020	tig00004361	1016354	1020086	2fbeed
