Chr	Start	End	species	size	color
AQPM01001537	1	84076	aabys	12	25252
AQPM01001990	1	82943	aabys	12	25252
AQPM01008080	1	60759	aabys	12	25252
AQPM01011539	1	51908	aabys	12	25252
AQPM01012107	1	50246	aabys	12	25252
AQPM01013701	1	45504	aabys	12	25252
AQPM01015422	1	40874	aabys	12	25252
AQPM01015571	1	40398	aabys	12	25252
AQPM01018057	1	33893	aabys	12	25252
AQPM01020643	1	28549	aabys	12	25252
AQPM01020881	1	28127	aabys	12	25252
AQPM01020969	1	27943	aabys	12	25252
AQPM01021182	1	27527	aabys	12	25252
AQPM01021590	1	25444	aabys	12	25252
AQPM01023192	1	22694	aabys	12	25252
AQPM01023632	1	21406	aabys	12	25252
AQPM01023668	1	21326	aabys	12	25252
AQPM01023757	1	20995	aabys	12	25252
AQPM01023880	1	18664	aabys	12	25252
AQPM01023886	1	20767	aabys	12	25252
AQPM01023996	1	20548	aabys	12	25252
AQPM01024210	1	20139	aabys	12	25252
AQPM01024506	1	19552	aabys	12	25252
AQPM01024604	1	19284	aabys	12	25252
AQPM01024850	1	18797	aabys	12	25252
AQPM01024851	1	18769	aabys	12	25252
AQPM01024967	1	18571	aabys	12	25252
AQPM01025163	1	18117	aabys	12	25252
AQPM01025270	1	17923	aabys	12	25252
AQPM01025392	1	17577	aabys	12	25252
AQPM01025518	1	17287	aabys	12	25252
AQPM01025583	1	17153	aabys	12	25252
AQPM01025611	1	15507	aabys	12	25252
AQPM01025737	1	16890	aabys	12	25252
AQPM01025899	1	16532	aabys	12	25252
AQPM01026067	1	16168	aabys	12	25252
AQPM01026082	1	15739	aabys	12	25252
AQPM01026505	1	15316	aabys	12	25252
AQPM01026506	1	15313	aabys	12	25252
AQPM01026519	1	15251	aabys	12	25252
AQPM01026549	1	15195	aabys	12	25252
AQPM01026593	1	15050	aabys	12	25252
AQPM01026697	1	14851	aabys	12	25252
AQPM01026909	1	14387	aabys	12	25252
AQPM01026916	1	14369	aabys	12	25252
AQPM01027076	1	14138	aabys	12	25252
AQPM01027146	1	13981	aabys	12	25252
AQPM01027318	1	13138	aabys	12	25252
AQPM01027417	1	13612	aabys	12	25252
AQPM01027438	1	13575	aabys	12	25252
AQPM01027559	1	13311	aabys	12	25252
AQPM01027579	1	13278	aabys	12	25252
AQPM01027608	1	13241	aabys	12	25252
AQPM01027721	1	13082	aabys	12	25252
AQPM01027860	1	12766	aabys	12	25252
AQPM01027882	1	12734	aabys	12	25252
AQPM01027934	1	7760	aabys	12	25252
AQPM01027988	1	12549	aabys	12	25252
AQPM01028030	1	12475	aabys	12	25252
AQPM01028068	1	12434	aabys	12	25252
AQPM01028149	1	12331	aabys	12	25252
AQPM01028150	1	12328	aabys	12	25252
AQPM01028237	1	12125	aabys	12	25252
AQPM01028256	1	11568	aabys	12	25252
AQPM01028263	1	12071	aabys	12	25252
AQPM01028311	1	12024	aabys	12	25252
AQPM01028353	1	11920	aabys	12	25252
AQPM01028380	1	9199	aabys	12	25252
AQPM01028395	1	11878	aabys	12	25252
AQPM01028455	1	11812	aabys	12	25252
AQPM01028478	1	11762	aabys	12	25252
AQPM01028526	1	11623	aabys	12	25252
AQPM01028535	1	11606	aabys	12	25252
AQPM01028626	1	11485	aabys	12	25252
AQPM01028634	1	11479	aabys	12	25252
AQPM01028656	1	11455	aabys	12	25252
AQPM01028672	1	11437	aabys	12	25252
AQPM01028736	1	11308	aabys	12	25252
AQPM01028789	1	11234	aabys	12	25252
AQPM01028865	1	11096	aabys	12	25252
AQPM01028972	1	10896	aabys	12	25252
AQPM01029034	1	10798	aabys	12	25252
AQPM01029061	1	10753	aabys	12	25252
AQPM01029070	1	10740	aabys	12	25252
AQPM01029083	1	10726	aabys	12	25252
AQPM01029120	1	10641	aabys	12	25252
AQPM01029316	1	10375	aabys	12	25252
AQPM01029350	1	10316	aabys	12	25252
AQPM01029353	1	10310	aabys	12	25252
AQPM01029421	1	10236	aabys	12	25252
AQPM01029422	1	10238	aabys	12	25252
AQPM01029427	1	10233	aabys	12	25252
AQPM01029454	1	10205	aabys	12	25252
AQPM01029472	1	10181	aabys	12	25252
