Ortho	Species1	Start1	End1	Species2	Start2	End2	fill
OG6_100000	chr-2R	17633797	17634167	KB855508	173786	178786	2fbeed
OG6_100000	chr-2R	17633797	17634167	KB858723	12358	14509	2fbeed
OG6_100000	chr-2R	17633797	17634167	KB854853	84239	89319	2fbeed
OG6_100000	chr-2R	17633797	17634167	KB859292	1863	4606	2fbeed
OG6_100000	chr-2R	17633797	17634167	KB860904	60	895	2fbeed
OG6_100000	chr-2R	17633797	17634167	KB857749	10791	15713	2fbeed
OG6_100000	chr-2R	17628491	17633516	KB855508	173786	178786	2fbeed
OG6_100000	chr-2R	17628491	17633516	KB858723	12358	14509	2fbeed
OG6_100000	chr-2R	17628491	17633516	KB854853	84239	89319	2fbeed
OG6_100000	chr-2R	17628491	17633516	KB859292	1863	4606	2fbeed
OG6_100000	chr-2R	17628491	17633516	KB860904	60	895	2fbeed
OG6_100000	chr-2R	17628491	17633516	KB857749	10791	15713	2fbeed
OG6_100006	chr-X	2295466	2343870	KB860184	27357	31522	2fbeed
OG6_100006	chr-X	2295466	2343870	KB856556	51269	55280	2fbeed
OG6_100012	chr-4	115074	129849	KB857252	7810	42311	2fbeed
OG6_100012	chr-4	115074	129849	KB856361	15986	140850	2fbeed
OG6_100012	chr-3L	7655389	7718395	KB857252	7810	42311	2fbeed
OG6_100012	chr-3L	7655389	7718395	KB856361	15986	140850	2fbeed
OG6_100012	chr-3R	28607939	28635099	KB857252	7810	42311	2fbeed
OG6_100012	chr-3R	28607939	28635099	KB856361	15986	140850	2fbeed
OG6_100013	chr-3L	14075772	14083229	KB855619	172225	176932	2fbeed
OG6_100013	chr-3L	14075772	14083229	KB856006	85527	164005	2fbeed
OG6_100013	chr-3L	14075772	14083229	KB855371	417509	454048	2fbeed
OG6_100013	chr-3L	14075772	14083229	KB860084	56116	59917	2fbeed
OG6_100013	chr-3L	14075772	14083229	KB855377	338974	360001	2fbeed
OG6_100013	chr-3L	14075772	14083229	KB855187	1519710	1525611	2fbeed
OG6_100013	chr-3L	14075772	14083229	KB855008	230	6556	2fbeed
OG6_100013	chr-3L	14075772	14083229	KB860083	1535	8353	2fbeed
OG6_100013	chr-3L	14075772	14083229	KB860084	65876	72111	2fbeed
OG6_100013	chr-3R	20770828	20772601	KB855619	172225	176932	2fbeed
OG6_100013	chr-3R	20770828	20772601	KB856006	85527	164005	2fbeed
OG6_100013	chr-3R	20770828	20772601	KB855371	417509	454048	2fbeed
