Ortho	Species1	Start1	End1	Species2	Start2	End2	fill
OG6_100025	chr-Y	573088	664173	KB855179	587264	606271	2fbeed
OG6_100025	chr-Y	573088	664173	KB856505	82628	140277	2fbeed
OG6_100025	chr-Y	573088	664173	KB855935	202182	230112	2fbeed
OG6_100025	chr-Y	573088	664173	KB856724	1403211	1436068	2fbeed
OG6_100025	chr-Y	573088	664173	KB862433	57240	72314	2fbeed
OG6_100025	chr-Y	573088	664173	KB855140	749534	786404	2fbeed
OG6_100025	chr-Y	573088	664173	KB855590	336402	349840	2fbeed
OG6_100025	chr-Y	573088	664173	KB855179	609878	677316	2fbeed
OG6_100025	chr-Y	573088	664173	KB855731	120805	291051	2fbeed
OG6_100025	chr-Y	573088	664173	KB855946	155696	199092	2fbeed
OG6_100025	chr-Y	573088	664173	AQPM01035287	2714	3352	2fbeed
OG6_100025	chr-Y	573088	664173	KB855590	137773	160161	2fbeed
OG6_100025	chr-Y	573088	664173	KB854365	35220	44620	2fbeed
OG6_100025	chr-Y	573088	664173	KB855653	147949	150804	2fbeed
OG6_100025	chr-Y	573088	664173	KB855653	152664	168914	2fbeed
OG6_100025	chr-Y	573088	664173	KB855713	1866	140986	2fbeed
OG6_100025	chr-Y	573088	664173	KB854365	6917	33598	2fbeed
OG6_100025	chr-Y	573088	664173	KB856041	41721	59102	2fbeed
OG6_100025	chr-Y	573088	664173	KB855341	10815	107645	2fbeed
OG6_100025	chr-Y	573088	664173	KB860517	6497	57880	2fbeed
OG6_100025	chr-Y	336381	563165	KB855179	587264	606271	2fbeed
OG6_100025	chr-Y	336381	563165	KB856505	82628	140277	2fbeed
OG6_100025	chr-Y	336381	563165	KB855935	202182	230112	2fbeed
OG6_100025	chr-Y	336381	563165	KB856724	1403211	1436068	2fbeed
OG6_100025	chr-Y	336381	563165	KB862433	57240	72314	2fbeed
OG6_100025	chr-Y	336381	563165	KB855140	749534	786404	2fbeed
OG6_100025	chr-Y	336381	563165	KB855590	336402	349840	2fbeed
OG6_100025	chr-Y	336381	563165	KB855179	609878	677316	2fbeed
OG6_100025	chr-Y	336381	563165	KB855731	120805	291051	2fbeed
OG6_100025	chr-Y	336381	563165	KB855946	155696	199092	2fbeed
OG6_100025	chr-Y	336381	563165	AQPM01035287	2714	3352	2fbeed
OG6_100025	chr-Y	336381	563165	KB855590	137773	160161	2fbeed
OG6_100025	chr-Y	336381	563165	KB854365	35220	44620	2fbeed
OG6_100025	chr-Y	336381	563165	KB855653	147949	150804	2fbeed
OG6_100025	chr-Y	336381	563165	KB855653	152664	168914	2fbeed
OG6_100025	chr-Y	336381	563165	KB855713	1866	140986	2fbeed
OG6_100025	chr-Y	336381	563165	KB854365	6917	33598	2fbeed
OG6_100025	chr-Y	336381	563165	KB856041	41721	59102	2fbeed
OG6_100025	chr-Y	336381	563165	KB855341	10815	107645	2fbeed
OG6_100025	chr-Y	336381	563165	KB860517	6497	57880	2fbeed
OG6_100025	chr-Y	22250	137486	KB855179	587264	606271	2fbeed
OG6_100025	chr-Y	22250	137486	KB856505	82628	140277	2fbeed
OG6_100025	chr-Y	22250	137486	KB855935	202182	230112	2fbeed
OG6_100025	chr-Y	22250	137486	KB856724	1403211	1436068	2fbeed
OG6_100025	chr-Y	22250	137486	KB862433	57240	72314	2fbeed
OG6_100025	chr-Y	22250	137486	KB855140	749534	786404	2fbeed
OG6_100025	chr-Y	22250	137486	KB855590	336402	349840	2fbeed
OG6_100025	chr-Y	22250	137486	KB855179	609878	677316	2fbeed
OG6_100025	chr-Y	22250	137486	KB855731	120805	291051	2fbeed
OG6_100025	chr-Y	22250	137486	KB855946	155696	199092	2fbeed
OG6_100025	chr-Y	22250	137486	AQPM01035287	2714	3352	2fbeed
OG6_100025	chr-Y	22250	137486	KB855590	137773	160161	2fbeed
OG6_100025	chr-Y	22250	137486	KB854365	35220	44620	2fbeed
OG6_100025	chr-Y	22250	137486	KB855653	147949	150804	2fbeed
OG6_100025	chr-Y	22250	137486	KB855653	152664	168914	2fbeed
OG6_100025	chr-Y	22250	137486	KB855713	1866	140986	2fbeed
OG6_100025	chr-Y	22250	137486	KB854365	6917	33598	2fbeed
OG6_100025	chr-Y	22250	137486	KB856041	41721	59102	2fbeed
OG6_100025	chr-Y	22250	137486	KB855341	10815	107645	2fbeed
OG6_100025	chr-Y	22250	137486	KB860517	6497	57880	2fbeed
OG6_100072	chr-Y	702430	704048	KB856449	118272	128310	2fbeed
OG6_100072	chr-Y	702430	704048	KB859849	52890	57719	2fbeed
OG6_100072	chr-Y	702430	704048	KB859849	60662	64343	2fbeed
OG6_100072	chr-Y	702430	704048	KB859362	1292163	1293309	2fbeed
OG6_100072	chr-Y	702430	704048	KB856200	119118	125274	2fbeed
OG6_100222	chr-Y	3539437	3540722	KB855028	6138	13654	2fbeed
OG6_100222	chr-Y	3539437	3540722	KB856132	170431	173149	2fbeed
OG6_100222	chr-Y	3539437	3540722	KB856736	624016	625498	2fbeed
OG6_103263	chr-Y	3561745	3618339	KB855417	1053920	1065323	2fbeed
OG6_103263	chr-Y	3561745	3618339	KB855417	1047471	1053768	2fbeed
OG6_104360	chr-Y	2273422	2487777	KB855145	705441	716829	2fbeed
OG6_104691	chr-Y	1636574	1884846	KB856485	145380	156675	2fbeed
OG6_110359	chr-Y	146092	192020	KB855267	14051	17867	2fbeed
