Ortho	Species1	Start1	End1	Species2	Start2	End2	fill
OG6_100014	chr-2L	9747839	9750071	KB856023	584024	586201	FF6E63
OG6_100014	chr-2L	9747839	9750071	KB859418	42488	46048	FF6E63
OG6_100014	chr-2L	9747839	9750071	AQPM01038335	7213	8362	FF6E63
OG6_100014	chr-2L	9747839	9750071	KB855198	483141	489975	FF6E63
OG6_100014	chr-2L	9747839	9750071	KB855418	819080	824417	FF6E63
OG6_100014	chr-2L	9747839	9750071	KB856408	132024	134147	FF6E63
OG6_100014	chr-2L	9747839	9750071	KB855857	148854	150079	FF6E63
OG6_100014	chr-2L	9747839	9750071	KB855857	139531	141097	FF6E63
OG6_100014	chr-2L	9747839	9750071	KB855374	414688	418017	FF6E63
OG6_100014	chr-2L	9747839	9750071	AQPM01038433	4943	6652	FF6E63
OG6_100014	chr-2L	9747839	9750071	KB855412	52771	61121	FF6E63
OG6_100014	chr-2L	9747839	9750071	KB856338	753359	754333	FF6E63
OG6_100014	chr-2L	9747839	9750071	KB859362	889141	890798	FF6E63
OG6_100014	chr-2L	9747839	9750071	KB855857	3372	4046	FF6E63
OG6_100014	chr-2L	9747839	9750071	KB856251	96671	110112	FF6E63
OG6_100014	chr-2L	9747839	9750071	KB855374	404505	412682	FF6E63
OG6_100014	chr-2L	9747839	9750071	KB855188	282597	286807	FF6E63
OG6_100014	chr-2L	9747839	9750071	KB855857	11131	36192	FF6E63
OG6_100014	chr-2L	9747839	9750071	KB855098	751258	754317	FF6E63
OG6_100014	chr-2L	9747839	9750071	KB855198	504646	509414	FF6E63
OG6_100014	chr-2L	9747839	9750071	AQPM01038498	13	1081	FF6E63
OG6_100014	chr-2L	9747839	9750071	KB855188	277419	279743	FF6E63
OG6_100014	chr-2L	9747839	9750071	KB855857	78970	79833	FF6E63
OG6_100014	chr-2L	9747839	9750071	KB855418	805563	806254	FF6E63
OG6_100014	chr-2L	9747839	9750071	KB860334	52599	53549	FF6E63
OG6_100014	chr-2L	9747839	9750071	AQPM01038335	3314	4022	FF6E63
OG6_100014	chr-2L	9747839	9750071	KB855857	126890	128484	FF6E63
OG6_100014	chr-2L	9747839	9750071	KB856251	53037	69848	FF6E63
OG6_100014	chr-2L	9747839	9750071	KB855857	15594	17247	FF6E63
OG6_100014	chr-2L	9747839	9750071	KB859362	1054516	1056275	FF6E63
OG6_100014	chr-2L	9747839	9750071	KB859362	858300	860056	FF6E63
OG6_100014	chr-2L	9747839	9750071	KB856862	22020	25898	FF6E63
