Ortho	Species1	Start1	End1	Species2	Start2	End2	fill
OG6_100006	chr-X	2295466	2343870	Contig0006941	74474	78451	2fbeed
OG6_100006	chr-X	2295466	2343870	Contig0001916	61863	65756	2fbeed
OG6_100006	chr-X	2295466	2343870	Contig0007890	1442	5414	2fbeed
OG6_100013	chr-X	8170229	8177185	Contig0006482	110147	115039	2fbeed
OG6_100013	chr-X	8170229	8177185	Contig0010052	470969	631509	2fbeed
OG6_100013	chr-X	8170229	8177185	Contig0000077	99163	103830	2fbeed
OG6_100013	chr-X	8170229	8177185	Contig0006672	2725	8344	2fbeed
OG6_100013	chr-X	8170229	8177185	Contig0010314	120480	126364	2fbeed
OG6_100013	chr-X	8170229	8177185	Contig0004566	75505	82918	2fbeed
OG6_100013	chr-X	8170229	8177185	Contig0004319	13446	86710	2fbeed
OG6_100013	chr-X	8170229	8177185	Contig0000499	70694	77818	2fbeed
OG6_100013	chr-X	8170229	8177185	Contig0006672	13915	20061	2fbeed
OG6_100013	chr-X	8170229	8177185	Contig0004566	63801	69194	2fbeed
OG6_100013	chr-X	8170229	8177185	Contig0010052	476446	480495	2fbeed
OG6_100014	chr-X	15113302	15116542	Contig0002148	563311	566965	2fbeed
OG6_100014	chr-X	15113302	15116542	Contig0007608	33854	35491	2fbeed
OG6_100014	chr-X	15113302	15116542	Contig0004417	73557	77313	2fbeed
OG6_100014	chr-X	15113302	15116542	Contig0007626	40594	42905	2fbeed
OG6_100014	chr-X	15113302	15116542	Contig0011253	85322	88375	2fbeed
OG6_100014	chr-X	15113302	15116542	Contig0007608	57327	60392	2fbeed
OG6_100014	chr-X	15113302	15116542	Contig0001731	29414	40442	2fbeed
OG6_100014	chr-X	15113302	15116542	Contig0002642	88251	93007	2fbeed
OG6_100014	chr-X	15113302	15116542	Contig0002642	37439	39087	2fbeed
OG6_100014	chr-X	15113302	15116542	Contig0003102	579374	586384	2fbeed
OG6_100014	chr-X	15113302	15116542	Contig0003102	599477	610365	2fbeed
OG6_100014	chr-X	15113302	15116542	Contig0003102	614400	617264	2fbeed
OG6_100014	chr-X	15113302	15116542	Contig0003102	589810	596139	2fbeed
OG6_100014	chr-X	15113302	15116542	Contig0002642	26803	27865	2fbeed
OG6_100014	chr-X	15113302	15116542	Contig0007608	15114	16744	2fbeed
OG6_100014	chr-X	15113302	15116542	Contig0007330	71137	71796	2fbeed
OG6_100014	chr-X	15113302	15116542	Contig0009263	1442	6444	2fbeed
OG6_100014	chr-X	15113302	15116542	Contig0006962	354968	372340	2fbeed
OG6_100014	chr-X	15113302	15116542	Contig0007578	7234	17306	2fbeed
OG6_100014	chr-X	15113302	15116542	Contig0007055	46107	50053	2fbeed
OG6_100014	chr-X	15113302	15116542	Contig0002642	52809	55720	2fbeed
OG6_100014	chr-X	15113302	15116542	Contig0002642	9045	9718	2fbeed
OG6_100014	chr-X	15113302	15116542	Contig0000832	56691	58379	2fbeed
OG6_100014	chr-X	15113302	15116542	Contig0007330	1053	6020	2fbeed
OG6_100014	chr-X	15113302	15116542	Contig0000832	45107	51015	2fbeed
OG6_100014	chr-X	15113302	15116542	Contig0004535	2361	11609	2fbeed
OG6_100014	chr-X	15113302	15116542	Contig0002733	39402	48629	2fbeed
OG6_100014	chr-X	15113302	15116542	Contig0002601	98433	103670	2fbeed
OG6_100014	chr-X	15113302	15116542	Contig0007330	96489	100105	2fbeed
OG6_100014	chr-X	15113302	15116542	Contig0002642	98959	100547	2fbeed
OG6_100014	chr-X	15113302	15116542	Contig0000832	31634	34803	2fbeed
OG6_100014	chr-X	15113302	15116542	Contig0002601	83140	84260	2fbeed
OG6_100014	chr-X	15113302	15116542	Contig0002642	111570	113136	2fbeed
OG6_100014	chr-X	15113302	15116542	Contig0009768	269964	316570	2fbeed
OG6_100014	chr-X	15113302	15116542	Contig0000064	153714	157699	2fbeed
OG6_100014	chr-X	15113302	15116542	Contig0002642	42813	44426	2fbeed
OG6_100014	chr-X	15113302	15116542	Contig0003102	557983	574019	2fbeed
OG6_100014	chr-X	15113302	15116542	Contig0007608	70983	72730	2fbeed
