Ortho	Species1	Start1	End1	Species2	Start2	End2	fill
OG6_100000	chr-2R	17628491	17633516	tig00004727	352767	357768	2fbeed
OG6_100000	chr-2R	17628491	17633516	tig00009044	9823951	9828950	2fbeed
OG6_100000	chr-2R	17628491	17633516	tig00003649	2135606	2138344	2fbeed
OG6_100000	chr-2R	17628491	17633516	tig00001707	11569707	11571845	2fbeed
OG6_100000	chr-2R	17628491	17633516	tig00009305	9477	11615	2fbeed
OG6_100000	chr-2R	17628491	17633516	tig00001707	2116476	2119214	2fbeed
OG6_100000	chr-2R	17628491	17633516	tig00009293	419620	421760	2fbeed
OG6_100000	chr-2R	17628491	17633516	tig00003699	3779226	3784171	2fbeed
OG6_100000	chr-2R	17628491	17633516	tig00001794	44200	45368	2fbeed
OG6_100000	chr-2R	17628491	17633516	tig00004867	173241	175962	2fbeed
OG6_100000	chr-2R	17628491	17633516	tig00008435	22955947	22957115	2fbeed
OG6_100000	chr-2R	17628491	17633516	tig00008813	4987108	4991737	2fbeed
OG6_100000	chr-2R	17628491	17633516	tig00008669	3788365	3792679	2fbeed
OG6_100000	chr-2R	17628491	17633516	tig00008558	906486	908559	2fbeed
OG6_100000	chr-2R	17628491	17633516	tig00001423	19402205	19406071	2fbeed
OG6_100000	chr-2R	17628491	17633516	tig00008435	22948128	22949287	2fbeed
OG6_100000	chr-2R	17628491	17633516	tig00008971	244030	245198	2fbeed
OG6_100000	chr-2R	17628491	17633516	tig00009002	2448832	2449943	2fbeed
OG6_100000	chr-2R	17628491	17633516	tig00002698	1216635	1217645	2fbeed
OG6_100000	chr-2R	17633797	17634167	tig00004727	352767	357768	2fbeed
OG6_100000	chr-2R	17633797	17634167	tig00009044	9823951	9828950	2fbeed
OG6_100000	chr-2R	17633797	17634167	tig00003649	2135606	2138344	2fbeed
OG6_100000	chr-2R	17633797	17634167	tig00001707	11569707	11571845	2fbeed
OG6_100000	chr-2R	17633797	17634167	tig00009305	9477	11615	2fbeed
OG6_100000	chr-2R	17633797	17634167	tig00001707	2116476	2119214	2fbeed
OG6_100000	chr-2R	17633797	17634167	tig00009293	419620	421760	2fbeed
OG6_100000	chr-2R	17633797	17634167	tig00003699	3779226	3784171	2fbeed
OG6_100000	chr-2R	17633797	17634167	tig00001794	44200	45368	2fbeed
OG6_100000	chr-2R	17633797	17634167	tig00004867	173241	175962	2fbeed
OG6_100000	chr-2R	17633797	17634167	tig00008435	22955947	22957115	2fbeed
OG6_100000	chr-2R	17633797	17634167	tig00008813	4987108	4991737	2fbeed
OG6_100000	chr-2R	17633797	17634167	tig00008669	3788365	3792679	2fbeed
OG6_100000	chr-2R	17633797	17634167	tig00008558	906486	908559	2fbeed
OG6_100000	chr-2R	17633797	17634167	tig00001423	19402205	19406071	2fbeed
OG6_100000	chr-2R	17633797	17634167	tig00008435	22948128	22949287	2fbeed
OG6_100000	chr-2R	17633797	17634167	tig00008971	244030	245198	2fbeed
OG6_100000	chr-2R	17633797	17634167	tig00009002	2448832	2449943	2fbeed
OG6_100000	chr-2R	17633797	17634167	tig00002698	1216635	1217645	2fbeed
OG6_100014	chr-2R	8447451	8449745	tig00002647	7106002	7109659	2fbeed
OG6_100014	chr-2R	8447451	8449745	tig00008895	12076998	12085170	2fbeed
OG6_100014	chr-2R	8447451	8449745	tig00004364	175806	177792	2fbeed
