Chr	Start	End	species	size	color
tig00000002	1	3225435	MV	12	25252
tig00000003	1	22184	MV	12	25252
tig00000005	1	25379	MV	12	25252
tig00000006	1	29116	MV	12	25252
tig00000007	1	26351	MV	12	25252
tig00000008	1	38981	MV	12	25252
tig00000009	1	25003	MV	12	25252
tig00000011	1	35560	MV	12	25252
tig00000012	1	29101	MV	12	25252
tig00000013	1	34154	MV	12	25252
tig00000014	1	37838	MV	12	25252
tig00000015	1	37760	MV	12	25252
tig00000016	1	31481	MV	12	25252
tig00000017	1	17702	MV	12	25252
tig00000019	1	35372	MV	12	25252
tig00000022	1	34104	MV	12	25252
tig00000023	1	42376	MV	12	25252
tig00000024	1	31546	MV	12	25252
tig00000025	1	34184	MV	12	25252
tig00000027	1	31068	MV	12	25252
tig00000028	1	38171	MV	12	25252
tig00000029	1	33719	MV	12	25252
tig00000030	1	40598	MV	12	25252
tig00000031	1	36892	MV	12	25252
tig00000032	1	43306	MV	12	25252
tig00000033	1	38006	MV	12	25252
tig00000034	1	24587	MV	12	25252
tig00000035	1	28828	MV	12	25252
tig00000036	1	25334	MV	12	25252
tig00000038	1	26107	MV	12	25252
tig00000039	1	29376	MV	12	25252
tig00000040	1	133063	MV	12	25252
tig00000041	1	22517	MV	12	25252
tig00000042	1	31867	MV	12	25252
tig00000043	1	24404	MV	12	25252
tig00000044	1	25171	MV	12	25252
tig00000045	1	39929	MV	12	25252
tig00000046	1	29742	MV	12	25252
tig00000047	1	37049	MV	12	25252
tig00000048	1	21705	MV	12	25252
tig00000049	1	29633	MV	12	25252
tig00000050	1	34771	MV	12	25252
tig00000051	1	29102	MV	12	25252
tig00000052	1	46082	MV	12	25252
tig00000053	1	34520	MV	12	25252
tig00000054	1	28788	MV	12	25252
tig00000055	1	27801	MV	12	25252
tig00000056	1	42236	MV	12	25252
tig00000057	1	24275	MV	12	25252
tig00000058	1	25828	MV	12	25252
tig00000060	1	36381	MV	12	25252
tig00000061	1	29461	MV	12	25252
tig00000062	1	69529	MV	12	25252
tig00000063	1	28287	MV	12	25252
tig00000064	1	26643	MV	12	25252
tig00000065	1	308703	MV	12	25252
tig00000066	1	22127	MV	12	25252
tig00000067	1	558090	MV	12	25252
tig00000069	1	26436	MV	12	25252
tig00000070	1	327822	MV	12	25252
tig00000072	1	36311	MV	12	25252
tig00000073	1	30428	MV	12	25252
tig00000074	1	38692	MV	12	25252
tig00000075	1	26972	MV	12	25252
tig00000076	1	41339	MV	12	25252
tig00000078	1	32719	MV	12	25252
tig00000079	1	32183	MV	12	25252
tig00000080	1	37906	MV	12	25252
tig00000081	1	39363	MV	12	25252
tig00000082	1	38119	MV	12	25252
tig00000083	1	32103	MV	12	25252
tig00000084	1	30020	MV	12	25252
tig00000085	1	28765	MV	12	25252
tig00000086	1	29886	MV	12	25252
tig00000087	1	25214	MV	12	25252
tig00000088	1	51049	MV	12	25252
tig00000090	1	33131	MV	12	25252
tig00000091	1	39955	MV	12	25252
tig00000093	1	39194	MV	12	25252
tig00000094	1	27247	MV	12	25252
tig00000096	1	29908	MV	12	25252
tig00000097	1	32491	MV	12	25252
tig00000100	1	36331	MV	12	25252
tig00000101	1	21061	MV	12	25252
tig00000102	1	26773	MV	12	25252
tig00000103	1	72262	MV	12	25252
tig00000104	1	34854	MV	12	25252
tig00000105	1	34170	MV	12	25252
tig00000106	1	32592	MV	12	25252
tig00000107	1	35638	MV	12	25252
tig00000108	1	228765	MV	12	25252
tig00000109	1	27052	MV	12	25252
tig00000110	1	310069	MV	12	25252
tig00000111	1	25298	MV	12	25252
tig00000112	1	38110	MV	12	25252
tig00000114	1	26254	MV	12	25252
tig00000115	1	36130	MV	12	25252
tig00000117	1	38305	MV	12	25252
tig00000118	1	28577	MV	12	25252
tig00000119	1	37556	MV	12	25252
tig00000120	1	25295	MV	12	25252
tig00000121	1	33355	MV	12	25252
tig00000122	1	22479	MV	12	25252
tig00000123	1	29653	MV	12	25252
tig00000124	1	38551	MV	12	25252
tig00000125	1	33282	MV	12	25252
tig00000127	1	25527	MV	12	25252
tig00000128	1	52090	MV	12	25252
tig00000129	1	32000	MV	12	25252
tig00000130	1	38535	MV	12	25252
tig00000131	1	33099	MV	12	25252
tig00000132	1	365571	MV	12	25252
tig00000133	1	48251	MV	12	25252
tig00000136	1	31976	MV	12	25252
tig00000137	1	28789	MV	12	25252
tig00000138	1	21708	MV	12	25252
tig00000139	1	32641	MV	12	25252
tig00000140	1	34393	MV	12	25252
tig00000141	1	34723	MV	12	25252
tig00000142	1	67899	MV	12	25252
tig00000143	1	33971	MV	12	25252
tig00000144	1	22164	MV	12	25252
tig00000145	1	47259	MV	12	25252
tig00000146	1	36227	MV	12	25252
tig00000147	1	76115	MV	12	25252
tig00000148	1	39681	MV	12	25252
tig00000149	1	32009	MV	12	25252
tig00000150	1	35877	MV	12	25252
tig00000152	1	26257	MV	12	25252
tig00000153	1	26258	MV	12	25252
tig00000154	1	27839	MV	12	25252
tig00000155	1	32997	MV	12	25252
tig00000156	1	38077	MV	12	25252
tig00000157	1	32496	MV	12	25252
tig00000158	1	24095	MV	12	25252
tig00000159	1	27075	MV	12	25252
tig00000160	1	160506	MV	12	25252
tig00000161	1	26903	MV	12	25252
tig00000162	1	28400	MV	12	25252
tig00000163	1	27406	MV	12	25252
tig00000164	1	25346	MV	12	25252
tig00000165	1	28474	MV	12	25252
tig00000166	1	34445	MV	12	25252
tig00000167	1	41096	MV	12	25252
tig00000168	1	33749	MV	12	25252
tig00000169	1	33462	MV	12	25252
tig00000170	1	30037	MV	12	25252
tig00000171	1	34594	MV	12	25252
tig00000172	1	37325	MV	12	25252
tig00000174	1	25816	MV	12	25252
tig00000175	1	23944	MV	12	25252
tig00000176	1	33672	MV	12	25252
tig00000177	1	972883	MV	12	25252
tig00000178	1	37723	MV	12	25252
tig00000179	1	27504	MV	12	25252
tig00000180	1	43070	MV	12	25252
tig00000181	1	44118	MV	12	25252
tig00000182	1	28898	MV	12	25252
tig00000183	1	43347	MV	12	25252
