Ortho	Species1	Start1	End1	Species2	Start2	End2	fill
OG6_100014	chr-2L	5620615	5623762	tig00001677	20878	31042	FF6E63
OG6_100014	chr-2L	5620615	5623762	tig00000697	14625	28979	FF6E63
OG6_100014	chr-2L	5620615	5623762	tig00002134	6012203	6029517	FF6E63
OG6_100014	chr-2L	5620615	5623762	tig00001804	405456	407145	FF6E63
OG6_100014	chr-2L	5620615	5623762	tig00004698	390849	399708	FF6E63
OG6_100014	chr-2L	5620615	5623762	tig00001845	2886069	2887720	FF6E63
OG6_100014	chr-2L	5620615	5623762	tig00001804	544411	546010	FF6E63
OG6_100014	chr-2L	5620615	5623762	tig00000602	4915673	4919332	FF6E63
OG6_100014	chr-2L	5620615	5623762	tig00004643	3886360	3896535	FF6E63
OG6_100014	chr-2L	5620615	5623762	tig00001845	2870748	2874249	FF6E63
OG6_100014	chr-2L	5620615	5623762	tig00001887	2684411	2686049	FF6E63
OG6_100014	chr-2L	5620615	5623762	tig00000062	24584	34706	FF6E63
OG6_100014	chr-2L	5620615	5623762	tig00000654	10954505	10958296	FF6E63
OG6_100014	chr-2L	5620615	5623762	tig00004105	1111476	1116653	FF6E63
OG6_100014	chr-2L	5620615	5623762	tig00001804	5912306	5915709	FF6E63
OG6_100014	chr-2L	5620615	5623762	tig00004698	388579	390524	FF6E63
OG6_100014	chr-2L	5620615	5623762	tig00004175	6824053	6827109	FF6E63
OG6_100014	chr-2L	5620615	5623762	tig00004643	3197262	3199183	FF6E63
OG6_100014	chr-2L	5620615	5623762	tig00004316	152124	156397	FF6E63
OG6_100014	chr-2L	5620615	5623762	tig00001804	498749	500507	FF6E63
OG6_100014	chr-2L	5620615	5623762	tig00004643	3077147	3078751	FF6E63
OG6_100014	chr-2L	5620615	5623762	tig00004477	1593518	1639306	FF6E63
OG6_100014	chr-2L	5620615	5623762	tig00004643	3201069	3202756	FF6E63
OG6_100014	chr-2L	5620615	5623762	tig00000654	10981106	10986251	FF6E63
OG6_100014	chr-2L	5620615	5623762	tig00001845	2905297	2906927	FF6E63
OG6_100014	chr-2L	5620615	5623762	tig00004127	13364535	13374657	FF6E63
OG6_100014	chr-2L	5620615	5623762	tig00004105	1131297	1145656	FF6E63
OG6_100014	chr-2L	5620615	5623762	tig00001887	2643508	2645261	FF6E63
OG6_100014	chr-2L	5620615	5623762	tig00001887	2697602	2699232	FF6E63
OG6_100014	chr-2L	5620615	5623762	tig00000654	10971667	10977672	FF6E63
OG6_100014	chr-2L	5620615	5623762	tig00004643	3920091	3931119	FF6E63
OG6_100014	chr-2L	5620615	5623762	tig00004643	3208432	3214343	FF6E63
OG6_100014	chr-2L	5620615	5623762	tig00004698	385408	387719	FF6E63
OG6_100014	chr-2L	5620615	5623762	tig00001804	409314	411235	FF6E63
OG6_100014	chr-2L	5620615	5623762	tig00004316	146192	146880	FF6E63
OG6_100014	chr-2L	5620615	5623762	tig00001845	3064010	3065768	FF6E63
OG6_100014	chr-2L	5620615	5623762	tig00001887	2854824	2856570	FF6E63
OG6_100014	chr-2L	5620615	5623762	tig00004316	78493	82882	FF6E63
OG6_100014	chr-2L	5620615	5623762	tig00001804	447948	451999	FF6E63
OG6_100014	chr-2L	5620615	5623762	tig00001804	535301	536880	FF6E63
OG6_100014	chr-2L	5620615	5623762	tig00001804	524574	529129	FF6E63
OG6_100014	chr-2L	5620615	5623762	tig00001804	378708	383624	FF6E63
OG6_100014	chr-2L	5620615	5623762	tig00004643	3178429	3180103	FF6E63
OG6_100014	chr-2L	5620615	5623762	tig00004643	3081358	3082983	FF6E63
OG6_100014	chr-2L	5620615	5623762	tig00001845	2858230	2859987	FF6E63
OG6_100014	chr-2L	5620615	5623762	tig00002340	443204	460355	FF6E63
OG6_100014	chr-2L	5620615	5623762	tig00004105	1121065	1129078	FF6E63
OG6_100014	chr-2L	5620615	5623762	tig00004643	3152922	3153967	FF6E63
OG6_100014	chr-2L	5620615	5623762	tig00000786	161369	162057	FF6E63
OG6_100014	chr-2L	5620615	5623762	tig00004643	3857890	3862933	FF6E63
OG6_100014	chr-2L	5620615	5623762	tig00004642	4282520	4286384	FF6E63
OG6_100014	chr-2L	5620615	5623762	tig00002356	309653	320751	FF6E63
OG6_100014	chr-2L	5620615	5623762	tig00001887	2658026	2661735	FF6E63
OG6_100014	chr-2L	5620615	5623762	tig00002532	410237	411870	FF6E63
OG6_100014	chr-2L	5620615	5623762	tig00000697	4386	12399	FF6E63
OG6_100014	chr-2L	5620615	5623762	tig00004643	3085795	3087368	FF6E63
OG6_100014	chr-2L	5620615	5623762	tig00004643	3224653	3227822	FF6E63
OG6_100014	chr-2L	5620615	5623762	tig00000654	10991349	11017779	FF6E63
OG6_100014	chr-2L	5620615	5623762	tig00004643	3171755	3172428	FF6E63
OG6_100014	chr-2L	5620615	5623762	tig00001804	432542	434191	FF6E63
OG6_100014	chr-2L	5620615	5623762	tig00004316	159654	165308	FF6E63
OG6_100014	chr-2L	5620615	5623762	tig00001845	2892959	2894611	FF6E63
OG6_100014	chr-2L	5620615	5623762	tig00001804	440710	441364	FF6E63
OG6_100014	chr-2L	5620615	5623762	tig00001804	490778	493691	FF6E63
OG6_100014	chr-2L	5620615	5623762	tig00001804	549961	551527	FF6E63
OG6_100014	chr-2L	5620615	5623762	tig00004643	3073456	3074998	FF6E63
OG6_100014	chr-2L	5620615	5623762	tig00001804	455528	456553	FF6E63
