Chr	Start	End	species	size	color
Contig0004508	1	183345	MIII	12	25252
Contig0005051	1	71660	MIII	12	25252
Contig0003244	1	11233	MIII	12	25252
Contig0010701	1	15971	MIII	12	25252
Contig0011204	1	23050	MIII	12	25252
Contig0000971	1	68016	MIII	12	25252
Contig0008806	1	20428	MIII	12	25252
Contig0009934	1	12553	MIII	12	25252
Contig0009197	1	81004	MIII	12	25252
Contig0005245	1	33552	MIII	12	25252
Contig0005250	1	102158	MIII	12	25252
Contig0008280	1	11504	MIII	12	25252
Contig0009717	1	49042	MIII	12	25252
Contig0001799	1	111636	MIII	12	25252
Contig0011224	1	15784	MIII	12	25252
Contig0003860	1	184995	MIII	12	25252
Contig0009104	1	15191	MIII	12	25252
Contig0008250	1	56417	MIII	12	25252
Contig0002811	1	18140	MIII	12	25252
Contig0001454	1	52651	MIII	12	25252
Contig0007747	1	28819	MIII	12	25252
Contig0009861	1	61214	MIII	12	25252
Contig0007441	1	22144	MIII	12	25252
Contig0002173	1	47987	MIII	12	25252
Contig0007631	1	68205	MIII	12	25252
Contig0001431	1	98213	MIII	12	25252
Contig0008495	1	7526	MIII	12	25252
Contig0002267	1	85569	MIII	12	25252
Contig0006687	1	16526	MIII	12	25252
Contig0002417	1	126538	MIII	12	25252
Contig0001136	1	22152	MIII	12	25252
Contig0009878	1	352891	MIII	12	25252
Contig0008191	1	34955	MIII	12	25252
Contig0009748	1	23956	MIII	12	25252
Contig0000873	1	18103	MIII	12	25252
Contig0000614	1	21855	MIII	12	25252
Contig0010810	1	7788	MIII	12	25252
Contig0010893	1	14252	MIII	12	25252
Contig0004477	1	78513	MIII	12	25252
Contig0004047	1	8913	MIII	12	25252
Contig0008365	1	23875	MIII	12	25252
Contig0004706	1	14330	MIII	12	25252
Contig0003843	1	21037	MIII	12	25252
Contig0009679	1	8296	MIII	12	25252
Contig0010410	1	352544	MIII	12	25252
Contig0009886	1	25928	MIII	12	25252
Contig0001848	1	30563	MIII	12	25252
Contig0005227	1	163642	MIII	12	25252
Contig0004427	1	98334	MIII	12	25252
Contig0006659	1	11982	MIII	12	25252
Contig0004703	1	130201	MIII	12	25252
Contig0007291	1	32863	MIII	12	25252
Contig0010294	1	23767	MIII	12	25252
Contig0006945	1	14295	MIII	12	25252
Contig0004473	1	44706	MIII	12	25252
Contig0009699	1	68608	MIII	12	25252
Contig0009085	1	113468	MIII	12	25252
Contig0009082	1	54141	MIII	12	25252
Contig0009651	1	8120	MIII	12	25252
Contig0007386	1	181189	MIII	12	25252
Contig0000233	1	11728	MIII	12	25252
Contig0006787	1	17537	MIII	12	25252
Contig0004054	1	116214	MIII	12	25252
Contig0003830	1	7552	MIII	12	25252
Contig0007907	1	218816	MIII	12	25252
Contig0000223	1	35257	MIII	12	25252
Contig0010867	1	12883	MIII	12	25252
Contig0010445	1	51426	MIII	12	25252
Contig0010267	1	61035	MIII	12	25252
Contig0008583	1	160246	MIII	12	25252
Contig0004293	1	45958	MIII	12	25252
Contig0000268	1	95576	MIII	12	25252
Contig0006650	1	8676	MIII	12	25252
Contig0001563	1	219483	MIII	12	25252
Contig0010342	1	43811	MIII	12	25252
Contig0000430	1	16204	MIII	12	25252
Contig0009374	1	139328	MIII	12	25252
Contig0006009	1	199888	MIII	12	25252
Contig0006645	1	293350	MIII	12	25252
Contig0008341	1	69941	MIII	12	25252
Contig0007807	1	10134	MIII	12	25252
Contig0001534	1	15080	MIII	12	25252
Contig0010705	1	17083	MIII	12	25252
Contig0005339	1	117991	MIII	12	25252
Contig0005121	1	139533	MIII	12	25252
Contig0007546	1	84991	MIII	12	25252
Contig0011082	1	6347	MIII	12	25252
Contig0011128	1	25855	MIII	12	25252
Contig0002387	1	2600	MIII	12	25252
Contig0010651	1	35302	MIII	12	25252
Contig0010060	1	144426	MIII	12	25252
Contig0009782	1	40856	MIII	12	25252
Contig0004354	1	19454	MIII	12	25252
Contig0009734	1	22420	MIII	12	25252
Contig0003281	1	155359	MIII	12	25252
Contig0004370	1	13677	MIII	12	25252
Contig0009301	1	15432	MIII	12	25252
Contig0008179	1	8333	MIII	12	25252
Contig0005938	1	19731	MIII	12	25252
Contig0002532	1	38256	MIII	12	25252
Contig0007542	1	14952	MIII	12	25252
Contig0009044	1	74434	MIII	12	25252
Contig0009212	1	106566	MIII	12	25252
Contig0010712	1	12596	MIII	12	25252
Contig0006723	1	35473	MIII	12	25252
Contig0005567	1	203631	MIII	12	25252
Contig0007087	1	34286	MIII	12	25252
Contig0010523	1	20973	MIII	12	25252
Contig0007097	1	98438	MIII	12	25252
Contig0010609	1	20532	MIII	12	25252
Contig0006222	1	47186	MIII	12	25252
Contig0003112	1	44939	MIII	12	25252
Contig0007383	1	103985	MIII	12	25252
Contig0009063	1	5207	MIII	12	25252
Contig0003288	1	8998	MIII	12	25252
Contig0003428	1	16399	MIII	12	25252
Contig0010423	1	28936	MIII	12	25252
Contig0008667	1	24315	MIII	12	25252
Contig0003116	1	231187	MIII	12	25252
Contig0005494	1	10856	MIII	12	25252
Contig0008188	1	6092	MIII	12	25252
Contig0009505	1	34828	MIII	12	25252
Contig0000689	1	24037	MIII	12	25252
Contig0007722	1	20264	MIII	12	25252
Contig0010315	1	12733	MIII	12	25252
Contig0004989	1	119900	MIII	12	25252
Contig0000024	1	111109	MIII	12	25252
Contig0008456	1	29597	MIII	12	25252
Contig0008097	1	81559	MIII	12	25252
Contig0007026	1	36576	MIII	12	25252
Contig0010361	1	15755	MIII	12	25252
Contig0005487	1	66235	MIII	12	25252
Contig0007203	1	88599	MIII	12	25252
Contig0001084	1	19360	MIII	12	25252
Contig0005474	1	49583	MIII	12	25252
Contig0011166	1	20690	MIII	12	25252
Contig0008943	1	81173	MIII	12	25252
Contig0009857	1	254068	MIII	12	25252
Contig0000355	1	33615	MIII	12	25252
Contig0000842	1	75309	MIII	12	25252
Contig0006630	1	2274	MIII	12	25252
Contig0008877	1	11680	MIII	12	25252
Contig0010187	1	109111	MIII	12	25252
Contig0002851	1	6980	MIII	12	25252
Contig0008657	1	217538	MIII	12	25252
Contig0003736	1	47310	MIII	12	25252
Contig0009041	1	45808	MIII	12	25252
Contig0001196	1	66285	MIII	12	25252
Contig0006714	1	121647	MIII	12	25252
Contig0001371	1	27919	MIII	12	25252
Contig0002039	1	136386	MIII	12	25252
Contig0001986	1	124576	MIII	12	25252
Contig0001822	1	19238	MIII	12	25252
Contig0009597	1	11298	MIII	12	25252
Contig0003784	1	33958	MIII	12	25252
Contig0009927	1	20663	MIII	12	25252
Contig0001055	1	126909	MIII	12	25252
Contig0003740	1	37393	MIII	12	25252
Contig0009946	1	74886	MIII	12	25252
Contig0007076	1	18556	MIII	12	25252
Contig0000770	1	11769	MIII	12	25252
Contig0000548	1	112516	MIII	12	25252
Contig0004102	1	33329	MIII	12	25252
Contig0004337	1	39472	MIII	12	25252
Contig0008499	1	44250	MIII	12	25252
