Ortho	Species1	Start1	End1	Species2	Start2	End2	fill
OG6_100012	chr-3R	28607939	28635099	KB857252	7810	42311	2fbeed
OG6_100012	chr-3R	28607939	28635099	KB856361	15986	140850	2fbeed
OG6_100013	chr-3R	20770828	20772601	KB855619	172225	176932	2fbeed
OG6_100013	chr-3R	20770828	20772601	KB856006	85527	164005	2fbeed
OG6_100013	chr-3R	20770828	20772601	KB855371	417509	454048	2fbeed
OG6_100013	chr-3R	20770828	20772601	KB860084	56116	59917	2fbeed
OG6_100013	chr-3R	20770828	20772601	KB855377	338974	360001	2fbeed
OG6_100013	chr-3R	20770828	20772601	KB855187	1519710	1525611	2fbeed
OG6_100013	chr-3R	20770828	20772601	KB855008	230	6556	2fbeed
OG6_100013	chr-3R	20770828	20772601	KB860083	1535	8353	2fbeed
OG6_100013	chr-3R	20770828	20772601	KB860084	65876	72111	2fbeed
OG6_100013	chr-3R	9367603	9394546	KB855619	172225	176932	2fbeed
OG6_100013	chr-3R	9367603	9394546	KB856006	85527	164005	2fbeed
OG6_100013	chr-3R	9367603	9394546	KB855371	417509	454048	2fbeed
OG6_100013	chr-3R	9367603	9394546	KB860084	56116	59917	2fbeed
OG6_100013	chr-3R	9367603	9394546	KB855377	338974	360001	2fbeed
OG6_100013	chr-3R	9367603	9394546	KB855187	1519710	1525611	2fbeed
OG6_100013	chr-3R	9367603	9394546	KB855008	230	6556	2fbeed
OG6_100013	chr-3R	9367603	9394546	KB860083	1535	8353	2fbeed
OG6_100013	chr-3R	9367603	9394546	KB860084	65876	72111	2fbeed
OG6_100013	chr-3R	18045216	18052984	KB855619	172225	176932	2fbeed
OG6_100013	chr-3R	18045216	18052984	KB856006	85527	164005	2fbeed
OG6_100013	chr-3R	18045216	18052984	KB855371	417509	454048	2fbeed
OG6_100013	chr-3R	18045216	18052984	KB860084	56116	59917	2fbeed
OG6_100013	chr-3R	18045216	18052984	KB855377	338974	360001	2fbeed
OG6_100013	chr-3R	18045216	18052984	KB855187	1519710	1525611	2fbeed
OG6_100013	chr-3R	18045216	18052984	KB855008	230	6556	2fbeed
OG6_100013	chr-3R	18045216	18052984	KB860083	1535	8353	2fbeed
OG6_100013	chr-3R	18045216	18052984	KB860084	65876	72111	2fbeed
OG6_100014	chr-3R	12396007	12398929	KB856023	584024	586201	2fbeed
OG6_100014	chr-3R	12396007	12398929	KB859418	42488	46048	2fbeed
OG6_100014	chr-3R	12396007	12398929	AQPM01038335	7213	8362	2fbeed
OG6_100014	chr-3R	12396007	12398929	KB855198	483141	489975	2fbeed
OG6_100014	chr-3R	12396007	12398929	KB855418	819080	824417	2fbeed
OG6_100014	chr-3R	12396007	12398929	KB856408	132024	134147	2fbeed
OG6_100014	chr-3R	12396007	12398929	KB855857	148854	150079	2fbeed
OG6_100014	chr-3R	12396007	12398929	KB855857	139531	141097	2fbeed
OG6_100014	chr-3R	12396007	12398929	KB855374	414688	418017	2fbeed
OG6_100014	chr-3R	12396007	12398929	AQPM01038433	4943	6652	2fbeed
OG6_100014	chr-3R	12396007	12398929	KB855412	52771	61121	2fbeed
OG6_100014	chr-3R	12396007	12398929	KB856338	753359	754333	2fbeed
OG6_100014	chr-3R	12396007	12398929	KB859362	889141	890798	2fbeed
OG6_100014	chr-3R	12396007	12398929	KB855857	3372	4046	2fbeed
OG6_100014	chr-3R	12396007	12398929	KB856251	96671	110112	2fbeed
OG6_100014	chr-3R	12396007	12398929	KB855374	404505	412682	2fbeed
OG6_100014	chr-3R	12396007	12398929	KB855188	282597	286807	2fbeed
OG6_100014	chr-3R	12396007	12398929	KB855857	11131	36192	2fbeed
OG6_100014	chr-3R	12396007	12398929	KB855098	751258	754317	2fbeed
OG6_100014	chr-3R	12396007	12398929	KB855198	504646	509414	2fbeed
OG6_100014	chr-3R	12396007	12398929	AQPM01038498	13	1081	2fbeed
OG6_100014	chr-3R	12396007	12398929	KB855188	277419	279743	2fbeed
OG6_100014	chr-3R	12396007	12398929	KB855857	78970	79833	2fbeed
OG6_100014	chr-3R	12396007	12398929	KB855418	805563	806254	2fbeed
OG6_100014	chr-3R	12396007	12398929	KB860334	52599	53549	2fbeed
OG6_100014	chr-3R	12396007	12398929	AQPM01038335	3314	4022	2fbeed
OG6_100014	chr-3R	12396007	12398929	KB855857	126890	128484	2fbeed
OG6_100014	chr-3R	12396007	12398929	KB856251	53037	69848	2fbeed
OG6_100014	chr-3R	12396007	12398929	KB855857	15594	17247	2fbeed
OG6_100014	chr-3R	12396007	12398929	KB859362	1054516	1056275	2fbeed
OG6_100014	chr-3R	12396007	12398929	KB859362	858300	860056	2fbeed
OG6_100014	chr-3R	12396007	12398929	KB856862	22020	25898	2fbeed
OG6_100014	chr-3R	12396007	12398929	KB855857	76291	88596	2fbeed
OG6_100014	chr-3R	12396007	12398929	KB855857	23977	28075	2fbeed
OG6_100014	chr-3R	12396007	12398929	KB855857	135403	137001	2fbeed
OG6_100014	chr-3R	12396007	12398929	KB855857	1139	2817	2fbeed
OG6_100014	chr-3R	12396007	12398929	KB855374	386402	391898	2fbeed
OG6_100014	chr-3R	12396007	12398929	KB855213	437823	441768	2fbeed
OG6_100014	chr-3R	12396007	12398929	KB856189	134629	180121	2fbeed
OG6_100014	chr-3R	12396007	12398929	KB856338	749823	753384	2fbeed
OG6_100014	chr-3R	12396007	12398929	KB859847	825370	835232	2fbeed
OG6_100014	chr-3R	12396007	12398929	KB855857	70751	72502	2fbeed
OG6_100014	chr-3R	12396007	12398929	KB855857	101781	117690	2fbeed
OG6_100014	chr-3R	12396007	12398929	KB857420	11982	13536	2fbeed
OG6_100014	chr-3R	12396007	12398929	KB855374	395321	401495	2fbeed
OG6_100014	chr-3R	12396007	12398929	KB855857	62775	67257	2fbeed
OG6_100014	chr-3R	12396007	12398929	KB857420	17650	19083	2fbeed
OG6_100014	chr-3R	12396007	12398929	KB855418	736139	747457	2fbeed
OG6_100014	chr-3R	12396007	12398929	KB857816	15259	19915	2fbeed
OG6_100014	chr-3R	12396007	12398929	KB855188	280529	282516	2fbeed
OG6_100014	chr-3R	12396007	12398929	KB855857	131120	132767	2fbeed
OG6_100014	chr-3R	12396007	12398929	KB859362	894872	896534	2fbeed
OG6_100014	chr-3R	12396007	12398929	KB856251	81907	90701	2fbeed
OG6_100014	chr-3R	12396007	12398929	KB859418	3048	4777	2fbeed
OG6_100014	chr-3R	12396007	12398929	KB859418	24538	37744	2fbeed
OG6_100014	chr-3R	12396007	12398929	KB854779	14255	15899	2fbeed
OG6_100014	chr-3R	12396007	12398929	KB857816	4639	11162	2fbeed
OG6_100014	chr-3R	12396007	12398929	KB856251	72514	79489	2fbeed
OG6_100014	chr-3R	12396007	12398929	KB855418	811490	815770	2fbeed
OG6_100014	chr-3R	12396007	12398929	KB856251	43064	56347	2fbeed
