Ortho	Species1	Start1	End1	Species2	Start2	End2	fill
OG6_100006	chr-X	2295466	2343870	tig00002613	43826	47174	2fbeed
OG6_100006	chr-X	2295466	2343870	tig00002404	1245908	1249363	2fbeed
OG6_100006	chr-X	2295466	2343870	tig00004699	3014473	3018456	2fbeed
OG6_100013	chr-X	8170229	8177185	tig00002734	29276	33945	2fbeed
OG6_100013	chr-X	8170229	8177185	tig00004361	1903385	1978221	2fbeed
OG6_100013	chr-X	8170229	8177185	tig00000601	2236891	2242514	2fbeed
OG6_100013	chr-X	8170229	8177185	tig00000654	1329443	1510748	2fbeed
OG6_100013	chr-X	8170229	8177185	tig00000601	2248093	2254239	2fbeed
OG6_100013	chr-X	8170229	8177185	tig00000654	1499570	1503577	2fbeed
OG6_100013	chr-X	8170229	8177185	tig00001214	10034407	10040311	2fbeed
OG6_100013	chr-X	8170229	8177185	tig00001812	8748638	8753204	2fbeed
OG6_100014	chr-X	15113302	15116542	tig00001677	20878	31042	2fbeed
OG6_100014	chr-X	15113302	15116542	tig00000697	14625	28979	2fbeed
OG6_100014	chr-X	15113302	15116542	tig00002134	6012203	6029517	2fbeed
OG6_100014	chr-X	15113302	15116542	tig00001804	405456	407145	2fbeed
OG6_100014	chr-X	15113302	15116542	tig00004698	390849	399708	2fbeed
OG6_100014	chr-X	15113302	15116542	tig00001845	2886069	2887720	2fbeed
OG6_100014	chr-X	15113302	15116542	tig00001804	544411	546010	2fbeed
OG6_100014	chr-X	15113302	15116542	tig00000602	4915673	4919332	2fbeed
OG6_100014	chr-X	15113302	15116542	tig00004643	3886360	3896535	2fbeed
OG6_100014	chr-X	15113302	15116542	tig00001845	2870748	2874249	2fbeed
OG6_100014	chr-X	15113302	15116542	tig00001887	2684411	2686049	2fbeed
OG6_100014	chr-X	15113302	15116542	tig00000062	24584	34706	2fbeed
OG6_100014	chr-X	15113302	15116542	tig00000654	10954505	10958296	2fbeed
OG6_100014	chr-X	15113302	15116542	tig00004105	1111476	1116653	2fbeed
OG6_100014	chr-X	15113302	15116542	tig00001804	5912306	5915709	2fbeed
OG6_100014	chr-X	15113302	15116542	tig00004698	388579	390524	2fbeed
OG6_100014	chr-X	15113302	15116542	tig00004175	6824053	6827109	2fbeed
OG6_100014	chr-X	15113302	15116542	tig00004643	3197262	3199183	2fbeed
OG6_100014	chr-X	15113302	15116542	tig00004316	152124	156397	2fbeed
OG6_100014	chr-X	15113302	15116542	tig00001804	498749	500507	2fbeed
OG6_100014	chr-X	15113302	15116542	tig00004643	3077147	3078751	2fbeed
OG6_100014	chr-X	15113302	15116542	tig00004477	1593518	1639306	2fbeed
OG6_100014	chr-X	15113302	15116542	tig00004643	3201069	3202756	2fbeed
