Ortho	Species1	Start1	End1	Species2	Start2	End2	fill
OG6_100006	chr-X	2295466	2343870	KB860184	27357	31522	2fbeed
OG6_100006	chr-X	2295466	2343870	KB856556	51269	55280	2fbeed
OG6_100013	chr-X	8170229	8177185	KB855619	172225	176932	2fbeed
OG6_100013	chr-X	8170229	8177185	KB856006	85527	164005	2fbeed
OG6_100013	chr-X	8170229	8177185	KB855371	417509	454048	2fbeed
OG6_100013	chr-X	8170229	8177185	KB860084	56116	59917	2fbeed
OG6_100013	chr-X	8170229	8177185	KB855377	338974	360001	2fbeed
OG6_100013	chr-X	8170229	8177185	KB855187	1519710	1525611	2fbeed
OG6_100013	chr-X	8170229	8177185	KB855008	230	6556	2fbeed
OG6_100013	chr-X	8170229	8177185	KB860083	1535	8353	2fbeed
OG6_100013	chr-X	8170229	8177185	KB860084	65876	72111	2fbeed
OG6_100014	chr-X	15113302	15116542	KB856023	584024	586201	2fbeed
OG6_100014	chr-X	15113302	15116542	KB859418	42488	46048	2fbeed
OG6_100014	chr-X	15113302	15116542	AQPM01038335	7213	8362	2fbeed
OG6_100014	chr-X	15113302	15116542	KB855198	483141	489975	2fbeed
OG6_100014	chr-X	15113302	15116542	KB855418	819080	824417	2fbeed
OG6_100014	chr-X	15113302	15116542	KB856408	132024	134147	2fbeed
OG6_100014	chr-X	15113302	15116542	KB855857	148854	150079	2fbeed
OG6_100014	chr-X	15113302	15116542	KB855857	139531	141097	2fbeed
OG6_100014	chr-X	15113302	15116542	KB855374	414688	418017	2fbeed
OG6_100014	chr-X	15113302	15116542	AQPM01038433	4943	6652	2fbeed
OG6_100014	chr-X	15113302	15116542	KB855412	52771	61121	2fbeed
OG6_100014	chr-X	15113302	15116542	KB856338	753359	754333	2fbeed
OG6_100014	chr-X	15113302	15116542	KB859362	889141	890798	2fbeed
OG6_100014	chr-X	15113302	15116542	KB855857	3372	4046	2fbeed
OG6_100014	chr-X	15113302	15116542	KB856251	96671	110112	2fbeed
OG6_100014	chr-X	15113302	15116542	KB855374	404505	412682	2fbeed
OG6_100014	chr-X	15113302	15116542	KB855188	282597	286807	2fbeed
OG6_100014	chr-X	15113302	15116542	KB855857	11131	36192	2fbeed
OG6_100014	chr-X	15113302	15116542	KB855098	751258	754317	2fbeed
OG6_100014	chr-X	15113302	15116542	KB855198	504646	509414	2fbeed
OG6_100014	chr-X	15113302	15116542	AQPM01038498	13	1081	2fbeed
OG6_100014	chr-X	15113302	15116542	KB855188	277419	279743	2fbeed
OG6_100014	chr-X	15113302	15116542	KB855857	78970	79833	2fbeed
OG6_100014	chr-X	15113302	15116542	KB855418	805563	806254	2fbeed
OG6_100014	chr-X	15113302	15116542	KB860334	52599	53549	2fbeed
OG6_100014	chr-X	15113302	15116542	AQPM01038335	3314	4022	2fbeed
OG6_100014	chr-X	15113302	15116542	KB855857	126890	128484	2fbeed
OG6_100014	chr-X	15113302	15116542	KB856251	53037	69848	2fbeed
OG6_100014	chr-X	15113302	15116542	KB855857	15594	17247	2fbeed
OG6_100014	chr-X	15113302	15116542	KB859362	1054516	1056275	2fbeed
OG6_100014	chr-X	15113302	15116542	KB859362	858300	860056	2fbeed
OG6_100014	chr-X	15113302	15116542	KB856862	22020	25898	2fbeed
OG6_100014	chr-X	15113302	15116542	KB855857	76291	88596	2fbeed
