Ortho	Species1	Start1	End1	Species2	Start2	End2	fill
OG6_100025	chr-Y	573088	664173	Contig0000634	849449	886230	2fbeed
OG6_100025	chr-Y	573088	664173	Contig0009220	234223	274412	2fbeed
OG6_100025	chr-Y	573088	664173	Contig0010999	530191	565317	2fbeed
OG6_100025	chr-Y	573088	664173	Contig0000634	888672	955466	2fbeed
OG6_100025	chr-Y	573088	664173	Contig0004990	10385	151972	2fbeed
OG6_100025	chr-Y	573088	664173	Contig0010449	957879	974133	2fbeed
OG6_100025	chr-Y	573088	664173	Contig0002060	134585	177420	2fbeed
OG6_100025	chr-Y	573088	664173	Contig0005648	126794	149172	2fbeed
OG6_100025	chr-Y	573088	664173	Contig0005503	1964	2587	2fbeed
OG6_100025	chr-Y	573088	664173	Contig0002603	68367	239948	2fbeed
OG6_100025	chr-Y	573088	664173	Contig0000634	959053	986090	2fbeed
OG6_100025	chr-Y	573088	664173	Contig0007837	68350	68973	2fbeed
OG6_100025	chr-Y	573088	664173	Contig0002603	35131	49097	2fbeed
OG6_100025	chr-Y	573088	664173	Contig0006480	9847	64693	2fbeed
OG6_100025	chr-Y	573088	664173	Contig0001333	32775	53282	2fbeed
OG6_100025	chr-Y	573088	664173	Contig0010449	953280	955868	2fbeed
OG6_100025	chr-Y	573088	664173	Contig0004655	47480	75401	2fbeed
OG6_100025	chr-Y	573088	664173	Contig0006861	2266	15988	2fbeed
OG6_100025	chr-Y	573088	664173	Contig0004654	46061	61256	2fbeed
OG6_100025	chr-Y	336381	563165	Contig0000634	849449	886230	2fbeed
OG6_100025	chr-Y	336381	563165	Contig0009220	234223	274412	2fbeed
OG6_100025	chr-Y	336381	563165	Contig0010999	530191	565317	2fbeed
OG6_100025	chr-Y	336381	563165	Contig0000634	888672	955466	2fbeed
OG6_100025	chr-Y	336381	563165	Contig0004990	10385	151972	2fbeed
OG6_100025	chr-Y	336381	563165	Contig0010449	957879	974133	2fbeed
OG6_100025	chr-Y	336381	563165	Contig0002060	134585	177420	2fbeed
OG6_100025	chr-Y	336381	563165	Contig0005648	126794	149172	2fbeed
OG6_100025	chr-Y	336381	563165	Contig0005503	1964	2587	2fbeed
OG6_100025	chr-Y	336381	563165	Contig0002603	68367	239948	2fbeed
OG6_100025	chr-Y	336381	563165	Contig0000634	959053	986090	2fbeed
OG6_100025	chr-Y	336381	563165	Contig0007837	68350	68973	2fbeed
OG6_100025	chr-Y	336381	563165	Contig0002603	35131	49097	2fbeed
OG6_100025	chr-Y	336381	563165	Contig0006480	9847	64693	2fbeed
OG6_100025	chr-Y	336381	563165	Contig0001333	32775	53282	2fbeed
OG6_100025	chr-Y	336381	563165	Contig0010449	953280	955868	2fbeed
OG6_100025	chr-Y	336381	563165	Contig0004655	47480	75401	2fbeed
OG6_100025	chr-Y	336381	563165	Contig0006861	2266	15988	2fbeed
OG6_100025	chr-Y	336381	563165	Contig0004654	46061	61256	2fbeed
OG6_100025	chr-Y	22250	137486	Contig0000634	849449	886230	2fbeed
OG6_100025	chr-Y	22250	137486	Contig0009220	234223	274412	2fbeed
OG6_100025	chr-Y	22250	137486	Contig0010999	530191	565317	2fbeed
OG6_100025	chr-Y	22250	137486	Contig0000634	888672	955466	2fbeed
OG6_100025	chr-Y	22250	137486	Contig0004990	10385	151972	2fbeed
OG6_100025	chr-Y	22250	137486	Contig0010449	957879	974133	2fbeed
OG6_100025	chr-Y	22250	137486	Contig0002060	134585	177420	2fbeed
OG6_100025	chr-Y	22250	137486	Contig0005648	126794	149172	2fbeed
OG6_100025	chr-Y	22250	137486	Contig0005503	1964	2587	2fbeed
OG6_100025	chr-Y	22250	137486	Contig0002603	68367	239948	2fbeed
OG6_100025	chr-Y	22250	137486	Contig0000634	959053	986090	2fbeed
OG6_100025	chr-Y	22250	137486	Contig0007837	68350	68973	2fbeed
OG6_100025	chr-Y	22250	137486	Contig0002603	35131	49097	2fbeed
OG6_100025	chr-Y	22250	137486	Contig0006480	9847	64693	2fbeed
OG6_100025	chr-Y	22250	137486	Contig0001333	32775	53282	2fbeed
OG6_100025	chr-Y	22250	137486	Contig0010449	953280	955868	2fbeed
OG6_100025	chr-Y	22250	137486	Contig0004655	47480	75401	2fbeed
OG6_100025	chr-Y	22250	137486	Contig0006861	2266	15988	2fbeed
OG6_100025	chr-Y	22250	137486	Contig0004654	46061	61256	2fbeed
OG6_100072	chr-Y	702430	704048	Contig0003888	10270	16365	2fbeed
OG6_100072	chr-Y	702430	704048	Contig0001265	21306	27455	2fbeed
OG6_100072	chr-Y	702430	704048	Contig0006232	98788	102461	2fbeed
OG6_100072	chr-Y	702430	704048	Contig0004641	263524	269850	2fbeed
OG6_100072	chr-Y	702430	704048	Contig0002079	48258	54655	2fbeed
OG6_100072	chr-Y	702430	704048	Contig0004980	8836	13291	2fbeed
OG6_100072	chr-Y	702430	704048	Contig0004980	15440	18733	2fbeed
OG6_100072	chr-Y	702430	704048	Contig0006232	105435	110260	2fbeed
OG6_100072	chr-Y	702430	704048	Contig0000255	60967	62099	2fbeed
OG6_100222	chr-Y	3539437	3540722	Contig0002370	74407	75886	2fbeed
OG6_100222	chr-Y	3539437	3540722	Contig0005743	110308	111787	2fbeed
OG6_100222	chr-Y	3539437	3540722	Contig0010999	4430503	4433215	2fbeed
OG6_100222	chr-Y	3539437	3540722	Contig0000333	94600	97262	2fbeed
OG6_103263	chr-Y	3561745	3618339	Contig0008480	592276	602111	2fbeed
OG6_103263	chr-Y	3561745	3618339	Contig0008480	602271	609134	2fbeed
OG6_104360	chr-Y	2273422	2487777	Contig0008547	99593	111932	2fbeed
OG6_104360	chr-Y	2273422	2487777	Contig0003674	73634	86877	2fbeed
OG6_104691	chr-Y	1636574	1884846	Contig0001831	64531	75729	2fbeed
OG6_110359	chr-Y	146092	192020	Contig0009951	54559	58366	2fbeed
