Ortho	Species1	Start1	End1	Species2	Start2	End2	fill
OG6_100000	chr-2R	17628491	17633516	tig00000896	5578787	5580896	2fbeed
OG6_100000	chr-2R	17628491	17633516	tig00002147	663737	664745	2fbeed
OG6_100000	chr-2R	17628491	17633516	tig00001109	3801024	3802038	2fbeed
OG6_100000	chr-2R	17628491	17633516	tig00001844	6808067	6810805	2fbeed
OG6_100000	chr-2R	17628491	17633516	tig00001288	443714	647762	2fbeed
OG6_100000	chr-2R	17628491	17633516	tig00002238	2096093	2098166	2fbeed
OG6_100000	chr-2R	17628491	17633516	tig00004761	383565	387437	2fbeed
OG6_100000	chr-2R	17628491	17633516	tig00001735	2285	6157	2fbeed
OG6_100000	chr-2R	17628491	17633516	tig00000592	2101893	2103061	2fbeed
OG6_100000	chr-2R	17628491	17633516	tig00004710	1134634	1139579	2fbeed
OG6_100000	chr-2R	17628491	17633516	tig00000592	2109696	2110864	2fbeed
OG6_100000	chr-2R	17633797	17634167	tig00000896	5578787	5580896	2fbeed
OG6_100000	chr-2R	17633797	17634167	tig00002147	663737	664745	2fbeed
OG6_100000	chr-2R	17633797	17634167	tig00001109	3801024	3802038	2fbeed
OG6_100000	chr-2R	17633797	17634167	tig00001844	6808067	6810805	2fbeed
OG6_100000	chr-2R	17633797	17634167	tig00001288	443714	647762	2fbeed
OG6_100000	chr-2R	17633797	17634167	tig00002238	2096093	2098166	2fbeed
OG6_100000	chr-2R	17633797	17634167	tig00004761	383565	387437	2fbeed
OG6_100000	chr-2R	17633797	17634167	tig00001735	2285	6157	2fbeed
OG6_100000	chr-2R	17633797	17634167	tig00000592	2101893	2103061	2fbeed
OG6_100000	chr-2R	17633797	17634167	tig00004710	1134634	1139579	2fbeed
OG6_100000	chr-2R	17633797	17634167	tig00000592	2109696	2110864	2fbeed
OG6_100014	chr-2R	8447451	8449745	tig00001677	20878	31042	2fbeed
OG6_100014	chr-2R	8447451	8449745	tig00000697	14625	28979	2fbeed
OG6_100014	chr-2R	8447451	8449745	tig00002134	6012203	6029517	2fbeed
OG6_100014	chr-2R	8447451	8449745	tig00001804	405456	407145	2fbeed
OG6_100014	chr-2R	8447451	8449745	tig00004698	390849	399708	2fbeed
OG6_100014	chr-2R	8447451	8449745	tig00001845	2886069	2887720	2fbeed
OG6_100014	chr-2R	8447451	8449745	tig00001804	544411	546010	2fbeed
OG6_100014	chr-2R	8447451	8449745	tig00000602	4915673	4919332	2fbeed
OG6_100014	chr-2R	8447451	8449745	tig00004643	3886360	3896535	2fbeed
OG6_100014	chr-2R	8447451	8449745	tig00001845	2870748	2874249	2fbeed
OG6_100014	chr-2R	8447451	8449745	tig00001887	2684411	2686049	2fbeed
OG6_100014	chr-2R	8447451	8449745	tig00000062	24584	34706	2fbeed
OG6_100014	chr-2R	8447451	8449745	tig00000654	10954505	10958296	2fbeed
OG6_100014	chr-2R	8447451	8449745	tig00004105	1111476	1116653	2fbeed
OG6_100014	chr-2R	8447451	8449745	tig00001804	5912306	5915709	2fbeed
OG6_100014	chr-2R	8447451	8449745	tig00004698	388579	390524	2fbeed
OG6_100014	chr-2R	8447451	8449745	tig00004175	6824053	6827109	2fbeed
OG6_100014	chr-2R	8447451	8449745	tig00004643	3197262	3199183	2fbeed
OG6_100014	chr-2R	8447451	8449745	tig00004316	152124	156397	2fbeed
OG6_100014	chr-2R	8447451	8449745	tig00001804	498749	500507	2fbeed
OG6_100014	chr-2R	8447451	8449745	tig00004643	3077147	3078751	2fbeed
OG6_100014	chr-2R	8447451	8449745	tig00004477	1593518	1639306	2fbeed
OG6_100014	chr-2R	8447451	8449745	tig00004643	3201069	3202756	2fbeed
OG6_100014	chr-2R	8447451	8449745	tig00000654	10981106	10986251	2fbeed
OG6_100014	chr-2R	8447451	8449745	tig00001845	2905297	2906927	2fbeed
OG6_100014	chr-2R	8447451	8449745	tig00004127	13364535	13374657	2fbeed
OG6_100014	chr-2R	8447451	8449745	tig00004105	1131297	1145656	2fbeed
OG6_100014	chr-2R	8447451	8449745	tig00001887	2643508	2645261	2fbeed
OG6_100014	chr-2R	8447451	8449745	tig00001887	2697602	2699232	2fbeed
OG6_100014	chr-2R	8447451	8449745	tig00000654	10971667	10977672	2fbeed
OG6_100014	chr-2R	8447451	8449745	tig00004643	3920091	3931119	2fbeed
OG6_100014	chr-2R	8447451	8449745	tig00004643	3208432	3214343	2fbeed
OG6_100014	chr-2R	8447451	8449745	tig00004698	385408	387719	2fbeed
OG6_100014	chr-2R	8447451	8449745	tig00001804	409314	411235	2fbeed
OG6_100014	chr-2R	8447451	8449745	tig00004316	146192	146880	2fbeed
OG6_100014	chr-2R	8447451	8449745	tig00001845	3064010	3065768	2fbeed
OG6_100014	chr-2R	8447451	8449745	tig00001887	2854824	2856570	2fbeed
OG6_100014	chr-2R	8447451	8449745	tig00004316	78493	82882	2fbeed
OG6_100014	chr-2R	8447451	8449745	tig00001804	447948	451999	2fbeed
OG6_100014	chr-2R	8447451	8449745	tig00001804	535301	536880	2fbeed
OG6_100014	chr-2R	8447451	8449745	tig00001804	524574	529129	2fbeed
OG6_100014	chr-2R	8447451	8449745	tig00001804	378708	383624	2fbeed
OG6_100014	chr-2R	8447451	8449745	tig00004643	3178429	3180103	2fbeed
OG6_100014	chr-2R	8447451	8449745	tig00004643	3081358	3082983	2fbeed
OG6_100014	chr-2R	8447451	8449745	tig00001845	2858230	2859987	2fbeed
OG6_100014	chr-2R	8447451	8449745	tig00002340	443204	460355	2fbeed
OG6_100014	chr-2R	8447451	8449745	tig00004105	1121065	1129078	2fbeed
OG6_100014	chr-2R	8447451	8449745	tig00004643	3152922	3153967	2fbeed
OG6_100014	chr-2R	8447451	8449745	tig00000786	161369	162057	2fbeed
